Kommun-KOD,Utegym-ID,Namn,Namn på plats,Koordinat_Lat_(WGS84),Koordinat_Long_(WGS84),Koordinat_Lat_(Sweref-99-TM),Koordinat_Long_(Sweref-99-TM),Koordinat_Lat_(Sweref-lokal),Koordinat_Long_(Sweref-lokal),Parkeringsplatser,Namn på ägare,Telefonnummer,E-post,Bild,Bild 2,Bild 3,Vägbeskrivning,Övrig beskrivning,Länk för mer information,Belysning,Rullstolsanpassat,Postnummer,Datum skapad,Datum modifierad,Sit ups,Armhäv,Rygglyft,Parallella stångar,Armgång,Balansbom,Marklyft,Trappsteg,Horisontell stång,Ribbstolar,Viktade rep,Benlyft,Slackline,Air walker,Rodd,Träningscykel,Skylt med övningsinstruktioner,Romerska ringar,Elliptisk träningsmaskin,Bänkpress,Knäböj,Axelpress,Häckar,Långbarr,Styrkeyta
0123,0123_Utegym_00001,Björkeby,Björkebyskolan,59.398195 ,17.85039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00002,Veddestaspåret,Veddesta,59.402064,17.841599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00003,Sandvik,Sandvik,59.40835,17.775354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00004,Falstebol,Falstebolskolan,59.412608,17.808896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00005,Ålsta,Ålsta,59.418786,17.865815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00006,Tallbohov,Tallbohov IP,59.419243,17.85013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00007,Nibble,Nibbleparken,59.426227,17.836778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00008,Kallhällsspåret,Kallhäll,59.449245,17.797131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00009,Källtorp,Källtorp,59.454835,17.810907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00010,Turbingränd,Turbingränd,59.461753 ,17.799745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123,0123_Utegym_00011,Ängsjö,Ängsjö friluftsområde,59.504203,17.814515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117,0117_Utegym_00001,Domarudden Åkersberga,Domarudden,59.518472,18.341694,6602539,689042,,,Ja,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,"Intill utomhusparkeringen vid Domarudden finner du gymmet.
Träningsmaskinerna är av metalltyp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117,0117_Utegym_00002,Kottvägens Lekplats Åkersberga,Kottvägens Lekplats Åkersberga,59.496328,18.286823,6599921,686061,,,Nej,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,Ligger på parkmark vid Kottvägens lekplats- och radhusområde.Träningsmaskinerna är av metalltyp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117,0117_Utegym_00003,Lillbroängens park,Strömfallsvägen 13 Åkersberga,59.485797,18.287878,6598752,686179,,,Nej,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,Gymmet och aktivitetsparken ligger vid Åkers kanal några steg norr om Lillbron vid Hackstavägen. Träningsmaskinerna är av metalltyp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117,0117_Utegym_00004,Oceanparken,Västra Banvägen / Orionvägen,59.474043,18.306384,6597496,687292,,,Nej,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,"Oceanparken hittar du mellan Västra Banvägen och Orionvägen.
Träningsmaskinerna är av metalltyp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0117,0117_Utegym_00005,Hacksta friluftsområde Åkersberga,Hackstavägen 43 Åkersberga,59.489029,18.304048,6599157,687076,,,Ja,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,Hackstaspårets utegym som ligger precis bakom ishallen och är ett favoritställe. Nu har gymmet upprustats. Redskapen är gjorda av stockar och trämaterial som passar väl i friluftsområdet. Gymmet har också fått ny belysning.,,,Ja,,,,,Ja,Ja,Ja,,Ja,,Ja,,,,,,,,,,,,,Ja,,,,,
0117,0117_Utegym_00006,Sabelbackens aktivitetspark,Margretelund Åkersberga,59.469552,18.342550,6597099,689364,,,Nej,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,Du hittar utegymmet bredvid Sabelbackens aktivitetspark mellan Norrabacken och Sabelbacken i Margretelund. Träningsmaskinerna är av trätyp.,,,,,,,,Ja,Ja,Ja,,Ja,,Ja,,,,,,,,,,,,,Ja,,,,,
0117,0117_Utegym_00007,Röllingbyparken Åkersberga,Hantverksvägen Åkersberga,59.490603,18.292652,6599300,686423,,,Nej,Österåkers kommun,+46 8-54081000,servicecenter@osteraker.se,http://www.osteraker.se/upplevagora/idrottmotionochfriluftsliv/idrottsanlaggningar/utegym.4.2a9bbe92160d7ec5088ebf4.html,,,"En aktivitetspark för alla och med fokus på de unga i centrala Åkersberga. Här i Röllingbyparken blir det bland annat plats för padelbana, skatebana, basket, klättring, utegym och scen. Röllingbyparken hittar du mellan Hantverksvägen och Röllingbyvägen och står färdig sommaren 2019.",,,,,,,,Ja,Ja,Ja,,Ja,,Ja,,,,,,,,,,,,,Ja,,,,,
0114,0114_Utegym_00001,Utegym Vilundaparken,Vilundaparken,59.516378,17.920648,6601184,665244,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114,0114_Utegym_00002,Utegym Runbyspåret,Runbyspåret,59.521516,17.872884,6601638,662518,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114,0114_Utegym_00003,Utegym Sandaspåret,Sandaspåret,59.509911,17.941356,6600516,666447,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114,0114_Utegym_00004,Utegym Smedsgärdsspåret,Smedsgärdsspåret,59.521372,17.923167,6601746,665362,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114,0114_Utegym_00005,Utegym Smedbyspåret,Ryttargatan 270,59.508162,17.910303,6600244,664699,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0114,0114_Utegym_00006,Utegym Östra Frestaby,Fresta,59.518651,17.962206,6601541,667583,,,Ja,Upplands Väsby kommun,+46 8 590 970 00,vasbydirekt@upplandsvasby.se,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,http://www.upplandsvasby.se/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utegym.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0187,0187_Utegym_00001,Vaxholms stads utomhusgym,Eriksö,59.406650,18.307548,6590000,687732,6588009,167469,Ja,Vaxholms stad,+46 8 541 708 00,kansliet@vaxholm.se,https://www.vaxholm.se/images/18.1467b68c157c4db76bc7e8a0/1477579795272/Utomhusgym%20Eriks%C3%B6_nyhet.jpg,,,"Gymmet ligger längs elljusspåret på Eriksö bredvid den lilla ängen. Det går att gå via campingområdet, alternativt ta höger där elljusspåret börjar och följa spåret cirka 500 meter",,https://www.vaxholm.se/externwebb-startsida/uppleva-och-gora/idrott-motion-och-friluftsliv/friluftsliv-och-motion/utomhusgym.html,Ja,Begränsat,18537,2016-11-01,,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Ja
180,0180_Utegym_00001,Akalla Gårds utegym,Akalla Gårds bollplan,59.412051,17.915596,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/dc5ebb87-73cc-496c-88ab-3f2fb58e6076.jpeg,,,T-bana blå linje till Akalla. Promenad 350 meter,,https://motionera.stockholm/hitta-utegym/utegym/akalla-gards-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00002,Björkhagens utegym,Startplatsen för Björkhagsspåret,59.293862,18.126439,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/620e2190-2758-4c70-ba39-ac9cf2dddb60.jpeg,,,"Tunnelbana grön linje till Björkhagen, promenad cirka 700 meter",,https://motionera.stockholm/hitta-utegym/utegym/bjorkhagens-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00003,Bredängs utegym,Intill Bredängs camping,59.295756,17.923198,,,,,Ja,"Skärholmens stadsdelsförvaltning, Stockholms stad",+46 850 824 000,skarholmen@stockholm.se,,,,Närmaste tunnelbana är Bredäng och om du följer skyltningen för Bredängs camping hittar du utegymmet strax efter campingens parkering och bredvid skogen,,https://motionera.stockholm/hitta-utegym/utegym/bredangs-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0180_Utegym_00004,Brotorp utegym,Brotorp,59.272175,18.148631,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/brotorp-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00005,Eriksdals utegym,Intill Eriksdalsbadet,59.304698,18.074382,,,,,Nej,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/19f243f7-7a3c-4ba4-acf1-176bed89f93c.jpeg,,,,,https://motionera.stockholm/hitta-utegym/utegym/eriksdals-utegym/,Nej,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00006,Fagersjöskogens utegym,Intill Fagersjöspåret,59.251094,18.077149,,,,,Ja,"Farsta stadsdelsförvaltning, Stockholms stad",+46 850 818 000,farsta@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/fagersjoskogens-utegym/,,,,,,Ja,,,,Ja,,Ja,,,,,,,,,,,,,,Ja,,,,
180,0180_Utegym_00007,Farsta utegym,Utanför grindarna till Farsta idrottsplats,59.239770,18.079996,,,,,Ja,"Idrottsförvaltningen, Stockholms stad",+46 850 827 700,friluft.idrott@​stockholm.se,https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/34dc2d28-19d7-4a51-89e1-c305611567e8.jpeg,,,,,https://motionera.stockholm/hitta-utegym/utegym/farsta-utegym/,Ja,,,,,Ja,,,,Ja,,Ja,,,,,,,,Ja,,,,,Ja,Ja,Ja,,,
180,0180_Utegym_00008,Farstanäsets utegym,Farstanäset,59.239064,18.070715,,,,,Nej,"Farsta stadsdelsförvaltning, Stockholms stad",+46 850 818 000,farsta@​stockholm.se,,,,,,https://motionera.stockholm/hitta-utegym/utegym/farstanasets-utegym/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
