,k,kLabel,ref
0,https://sweopendata.wikibase.cloud/entity/Q387,Ale kommuns anslagstavla,https://www.ale.se/kommun--politik/anslagstavla.html
1,https://sweopendata.wikibase.cloud/entity/Q547,Alingsås kommuns digitala anslagstavla,https://www.tjorn.se/kommun-och-politik/motestider-protokoll-och-diarium/anslagstavlan
2,https://sweopendata.wikibase.cloud/entity/Q538,Alvesta kommuns digitala anslagstavla,https://www.alvesta.se/om-kommunen/alvesta-kommuns-anslagstavla/
3,https://sweopendata.wikibase.cloud/entity/Q531,Aneby kommuns anslagstavla,https://www.aneby.se/arkiv/digital-anslagstavla.html
4,https://sweopendata.wikibase.cloud/entity/Q398,Arboga kommuns officiella anslagstavla,https://www.arboga.se/kommun--politik/beslut-insyn-och-rattssakerhet/anslagstavla.html
5,https://sweopendata.wikibase.cloud/entity/Q390,Arjeplogs kommun anslagstavla,https://www.arjeplog.se/kommun--politik/politik/anslagstavla
6,https://sweopendata.wikibase.cloud/entity/Q343,Arvidsjaurs kommun anslagstavla,https://www.arvidsjaur.se/sv/kommun/digital-anslagstavla/
7,https://sweopendata.wikibase.cloud/entity/Q352,Arvikas kommuns anslagstavla,https://www.arvika.se/anslagstavla
8,https://sweopendata.wikibase.cloud/entity/Q551,Askersunds officiella anslagstavla,https://www.askersund.se/kommun-och-politik/officiell-anslagstavla.html#.YvVCvOxByqA
9,https://sweopendata.wikibase.cloud/entity/Q331,Avesta kommuns anslagstavla,https://www.avesta.se/anslagstavla/
10,https://sweopendata.wikibase.cloud/entity/Q568,Bengtsfors kommuns officiella anslagstavla,https://www.bengtsfors.se/sidor/kommun-och-politik/officiell-anslagstavla.html
11,https://sweopendata.wikibase.cloud/entity/Q501,Bergs kommuns officiella anslagstavla,https://www.berg.se/48/kommun-och-politik/anslagstavla-officiell
12,https://sweopendata.wikibase.cloud/entity/Q405,Bjurholms kommun anslagstavla,https://www.bjurholm.se/kommun-och-politik/politik/anslagstavlan
13,https://sweopendata.wikibase.cloud/entity/Q355,Bjuvs kommuns anslagstavla,https://www.bjuv.se/kommun-och-politik/kallelser-och-protokoll/kommunal-anslagstavla.html
14,https://sweopendata.wikibase.cloud/entity/Q252,Bodens kommun Anslagstavla,https://www.boden.se/anslagstavla
15,https://sweopendata.wikibase.cloud/entity/Q559,Bollebygds kommuns digitala anslagstavla,https://www.bollebygd.se/kommunochpolitik/anslagstavla.4.7705107915f6dfbd89345a3.html
