,type,id,geometry.type,geometry.coordinates,properties.OBJECTID,properties.name,properties.type,properties.descr,properties.link,properties.ModificationDate,properties.oppnadata,properties.tillg_lank,properties.Friluftsliv,properties.Bild
0,Feature,39,Point,"[14.06334484418488, 57.77567266850851]",39,Axamobadet: utegym,35,,,1652078762000,1,,1,
1,Feature,278,Point,"[14.081823637563552, 57.78504305164521]",278,IF Hallby SOK: utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1605102040000,1,,1,
2,Feature,4013,Point,"[14.090468769855846, 57.69231508438181]",4013,Jönköpings OK: utegym,35,,https://www.jonkopingsok.nu/,1602248031000,1,,1,
3,Feature,9974,Point,"[14.142792730011719, 57.856385404479774]",9974,Bankeryds skid o motionsklubb: utegym,35,,https://www.laget.se/BSMK,1602248035000,1,,1,
4,Feature,13716,Point,"[14.279260037445983, 57.792274970174354]",13716,Esplanaden ,35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248088000,1,,0,
5,Feature,13717,Point,"[14.239839306048625, 57.785068586349944]",13717,"Ängens Arena, Österängen",35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248082000,1,,0,
6,Feature,13718,Point,"[14.167207192893946, 57.76696551769888]",13718,Munksjöstrandens: utegym,35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248089000,1,,0,
7,Feature,13719,Point,"[14.146257637207016, 57.73914512651033]",13719,"Puls Arena, Råslätt: utegym",35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248051000,1,,1,
8,Feature,13720,Point,"[14.254597288075166, 57.77408137037559]",13720,Friluftsfrämjandet: utegym,35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248054000,1,,1,
9,Feature,13722,Point,"[14.124288739834942, 57.70066829284151]",13722,Norrahammar GIS: Utegym Flahult,35, ,https://www.laget.se/NGIS,1602248038000,1,,1,
10,Feature,13723,Point,"[14.14907722926921, 57.77508694162006]",13723,Friaredalen,35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248092000,1,,0,
11,Feature,13725,Point,"[13.830224631314325, 57.776037929958434]",13725,Bottnaryds IF: utegym,35, ,http://www.bottnarydsif.se/start/?ID=234915,1602248041000,1,,1,
12,Feature,13726,Point,"[14.463551259359836, 58.02684770098175]",13726,Hamnvägen: utegym,35, ,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248043000,1,,1,
13,Feature,14527,Point,"[14.155127938701659, 57.81139350123127]",14527,Strandängen,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248086000,1,,0,
14,Feature,14528,Point,"[14.282724979525838, 57.807787376444644]",14528,IKHP: utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248058000,1,,1,
15,Feature,19754,Point,"[14.234468776588644, 57.787723676449005]",19754,Ravinen utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/hinderbanaravinen.4.1728713f155592fcd5b2c099.html,1602248061000,1,,1,
16,Feature,20963,Point,"[14.423755845959274, 57.773639851351405]",20963,Lekeryd Svarttorp SK: utegym,35,,,1602248063000,1,,1,
17,Feature,23408,Point,"[14.122576190921897, 57.8646031212834]",23408,Bankeryds SK/Bankeryds TK: utegym,35,,https://www.laget.se/Bankeryds_SK,1614580982000,1,,1,
18,Feature,23409,Point,"[14.56763240579445, 58.00685476907677]",23409,Örserumsbadet: utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248071000,1,,1,
19,Feature,23808,Point,"[14.467958493235733, 58.017977079663375]",23808,Grännabygdens OK: utegym,35,,https://idrottonline.se/Granna-BygdensOK-Orientering/GBOK-stugan,1602248073000,1,,1,
20,Feature,23809,Point,"[14.1249363154389, 57.73258413096174]",23809,Hovslätts IK: utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248076000,1,,1,
21,Feature,29013,Point,"[14.13766960124456, 57.77904463123033]",29013,Stadsparkens utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1608014700000,1,,1,
22,Feature,29014,Point,"[14.180344533405664, 57.77380126838164]",29014,Kålgårdsparkens utegym,35,,https://www.jonkoping.se/upplevagora/friluftslivochmotion/motionsanlaggningarutomhusmotionssparelljussparskidsparochutegym/utegym.4.74fef9ab15548f0b8001f7f.html,1602248101000,1,,0,
23,Feature,31415,Point,"[14.31684906291698, 57.70063587665647]",31415,Tenhults SOK: utegym,35,,https://www.tsok.nu/,1602248046000,1,,1,
24,Feature,33816,Point,"[14.490797895378156, 57.93596649250235]",33816,Bauergårdens utegym,35,,http://www.bauergarden.se/,1602248079000,1,,1,
25,Feature,55057,Point,"[14.232015421350972, 57.76629948605729]",55057,Järabackens utegym,35,,,1636103462000,1,,1,
26,Feature,55853,Point,"[14.162420690537726, 57.775364462890636]",55853,Munksjökajens utegym,35,,,1637329262000,1,,1,
