,type,id,attributes.name,attributes.location.north,attributes.location.east,attributes.address,attributes.isPublished,attributes.created,attributes.changed,relationships.image.data.type,relationships.image.data.id,relationships.image.links.self,relationships.image.links.related,relationships.serviceType.data.type,relationships.serviceType.data.id,relationships.serviceType.links.self,relationships.serviceType.links.related,relationships.regions.data,links.self
0,serviceunits,12756,Akalla Gårds utegym,6588557,145156,Imatragatan 230,True,2019-08-22,2022-02-23,files,6c9ed8be-3f0d-4c93-af16-ba44de88b9ae,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12756/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12756/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12756/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12756/servicetype,"[{'type': 'regions', 'id': '8'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12756
1,serviceunits,15335,Alviks strands utegym,6579602,149177,Gustavslundsvägen,True,2022-03-11,2022-03-11,files,88ba9596-00d0-41f3-b10d-a12f384d3015,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15335/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15335/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15335/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15335/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15335
2,serviceunits,14997,Aromen utegym,6576875,151468,Ingenjörsvägen 25,True,2021-01-21,2021-09-24,files,696c2e97-3f81-4efa-86c8-40d7eb8e0010,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14997/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14997/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14997/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14997/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14997
3,serviceunits,15453,Beckomberga utegym,6582918,144581,Grafitgränd,True,2022-06-30,2022-06-30,files,f7bb6398-bda1-4ee7-ac58-9ae463dbed53,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15453/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15453/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15453/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15453/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15453
4,serviceunits,12757,Björkhagens utegym,6575372,157321,,True,2019-08-22,2019-10-03,files,620e2190-2758-4c70-ba39-ac9cf2dddb60,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12757/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12757/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12757/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12757/servicetype,"[{'type': 'regions', 'id': '15'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12757
5,serviceunits,14826,Blåsutparkens utegym och seniorgym,6575262,155159,Blåsutvägen 19,True,2020-08-19,2021-02-08,files,38e34709-972d-4ce1-9c5c-8496342464e2,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14826/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14826/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14826/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14826/servicetype,"[{'type': 'regions', 'id': '2'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14826
6,serviceunits,13617,Bredängs utegym,6575563,145640,,True,2019-10-21,2021-04-21,files,fadb2cde-e070-4b30-bbc8-ed2909c45610,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13617/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13617/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13617/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13617/servicetype,"[{'type': 'regions', 'id': '10'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13617
7,serviceunits,13619,Brotorp utegym,6573028,158464,,True,2019-10-21,2022-04-04,files,30ffecfa-fb29-4ddb-9131-21c1b75b2310,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13619/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13619/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13619/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13619/servicetype,"[{'type': 'regions', 'id': '9'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13619
8,serviceunits,14827,Dalbottensparkens utegym och seniorgym,6571882,152720,Vrenavägen16,True,2020-08-19,2021-08-02,files,e127bbae-cba2-416c-a7df-8fb00928698f,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14827/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14827/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14827/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14827/servicetype,"[{'type': 'regions', 'id': '2'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14827
9,serviceunits,15160,Elektraparkens utegym,6575715,150612,Korsningen Dansbanevägen och Västberga Allé,True,2021-07-08,2021-08-27,files,5c9c3133-6c00-4aef-b688-d8ab3ee62e38,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15160/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15160/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15160/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15160/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15160
