,uniktID,WD
0,,Q107656895
1,,Q107656909
2,2480_BrantbergetUtegym,Q107248603
3,2480_OstraSocionomparkenutegym,Q107248498
4,,Q107248525
5,2480_BettnessandUtegym,Q107248559
6,,Q107259161
7,2480_Ersbodaaventyrslekutegym,Q107259289
8,2480_Hedlundadungenutegym,Q107391513
9,2480_SkogsvallensIPUtegym,Q107391519
10,2480_VastraHagaparkenutegym,Q107391537
11,2480_StadslidenUtegym,Q107391541
12,2480_Varvsparkenutegym,Q107391548
13,2480_VastermalmsparkenUtegym,Q107391606
14,,Q114835989
15,2480_Tomteboaventyrslekutegym,Q116270354
16,2480_AventyrsparkensutegymiRodasel,Q116270356
