,datasetid,recordid,record_timestamp,fields.id,fields.uppdaterad,fields.long,fields.beskrivning,fields.geo_point_2d,fields.lat,fields.namn,fields.webb,fields.epost,fields.kommunkod,geometry.type,geometry.coordinates
0,utegym-umea,e8a4882757403f1df4dd88f8e656424defdc9d95,2022-12-14T09:47:01.648Z,2480_AventyrsparkensutegymiRodasel,2021-02-01T00:00:00+00:00,19.9589509999243,Utegym och hinderbana på 400m. Delvis elbelyst.,"[64.088354, 19.958950999999995]",64.088353999697,Äventyrsparkens utegym i Rödåsel,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym,umea.fritid@umea.se,2480,Point,"[19.958950999999995, 64.088354]"
1,utegym-umea,04c2c2dcb807549f1cbd5666005bf6c6a8f69bfd,2022-12-14T09:47:01.648Z,2480_BettnessandUtegym,2022-11-15T00:00:00+00:00,,"Bettnessand




Bettnessands havsbad är en av de mest populära stränderna i Umeå kommun. Det är en aktiv strand där du kan träna i ett utegym och kan spela beachvolleyboll, beachfotboll, boule och badminton. Utegymmet har fem gymstationer där du kan",,,Bettnessand Utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/bettnessand.4.27a2de8b172da059ace2144.html,umea.fritid@umea.se,2480,,
2,utegym-umea,e5e7eb2c0d89df8180391cc0eccafdbdfb25275c,2022-12-14T09:47:01.648Z,2480_BrantbergetUtegym,2018-02-05T00:00:00+00:00,20.3113439993079,Invigdes 17 juni 2014.,"[63.84085499999999, 20.311344]",63.8408549996377,Bräntberget Utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym,umea.fritid@umea.se,2480,Point,"[20.311344, 63.84085499999999]"
3,utegym-umea,eb41bf2d61fad7c3ab2f2add5ce7aaf4f184b376,2022-12-14T09:47:01.648Z,2480_Ersbodaaventyrslekutegym,2022-10-20T00:00:00+00:00,20.3276285536931,,"[63.859178, 20.327629]",63.8591778487728,Ersboda äventyrslek utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/ersbodaaventyrslekplats.4.19a41f3a17567e789efb9b.html,gatorochparker@umea.se,2480,Point,"[20.327629, 63.859178]"
4,utegym-umea,4d79bd7a3f2b1c92d84df5763cffe7ec826fa7d0,2022-12-14T09:47:01.648Z,2480_Hedlundadungenutegym,2022-10-20T00:00:00+00:00,20.2398098128467,,"[63.832533, 20.23981]",63.83253273696,Hedlundadungen utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/hedlundadungen.4.19a41f3a17567e789efbe8.html,gatorochparker@umea.se,2480,Point,"[20.23981, 63.832533]"
5,utegym-umea,5c0e15c3aed997d5ac7177183cfa52f5ec1ea754,2022-12-14T09:47:01.648Z,2480_OstraSocionomparkenutegym,2022-10-20T00:00:00+00:00,20.3193939459361,,"[63.809403, 20.319394]",63.8094034784372,Östra Socionomparken utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/alidhemutegymochfruktlund.4.6f09f76217563d7077c2e6.html,gatorochparker@umea.se,2480,Point,"[20.319394, 63.809403]"
6,utegym-umea,9677d0da674d6a5c9fb6a8eb0f45407c419e21ce,2022-12-14T09:47:01.648Z,2480_SkogsvallensIPUtegym,2018-02-05T00:00:00+00:00,,På Skogsvallens IP i Sävar finns ett utegym med tre maskiner där du kan träna kroppens största muskelgrupper.,,,Skogsvallens IP Utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym,umea.fritid@umea.se,2480,,
7,utegym-umea,977f54f044b8e66e41743e12c318351ad80434aa,2022-12-14T09:47:01.648Z,2480_StadslidenUtegym,2018-02-05T00:00:00+00:00,20.2931910542115,,"[63.839569, 20.293191]",63.8395686936583,Stadsliden Utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym,umea.fritid@umea.se,2480,Point,"[20.293191, 63.839569]"
8,utegym-umea,0e583048afd6220c0efc42268a2dcb273b17ceea,2022-12-14T09:47:01.648Z,2480_Tomteboaventyrslekutegym,2022-10-20T00:00:00+00:00,20.3496404557737,,"[63.80714, 20.34964]",63.8071399823412,Tomtebo äventyrslek utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/tomteboaventyrslekplats.4.19a41f3a17567e789efbbf.html,gatorochparker@umea.se,2480,Point,"[20.34964, 63.80714]"
9,utegym-umea,ad34210b35bfeba8ea22e583c1d36f038ca1cb4d,2022-12-14T09:47:01.648Z,2480_Varvsparkenutegym,2022-10-20T00:00:00+00:00,20.2620537209082,,"[63.820814, 20.262054]",63.820813635892,Varvsparken utegym,https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/varvsparken.4.19a41f3a17567e789efbd0.html,gatorochparker@umea.se,2480,Point,"[20.262054, 63.820814]"
