,wikidata,type,osmid
0,Q83681,,
1,Q254017,,
2,Q212640,,
4,Q214806,,
6,Q265682,,
7,Q121561,,
8,Q163918,,
9,Q166674,,
10,Q129457,,
12,Q166575,,
13,Q257067,,
14,Q266387,,
15,Q75008,,
16,Q83718,,
18,Q265648,,
21,Q177024,,
22,Q129449,,
24,Q264780,,
29,Q194359,,
30,Q254953,,
32,Q254749,,
34,Q254990,,
35,Q202037,,
37,Q207444,,
38,Q258124,,
40,Q205769,,
41,Q199957,,
42,Q176095,,
47,Q209523,,
48,Q255161,,
52,Q260609,,
53,Q94385,,
54,Q194512,,
55,Q254251,,
56,Q262973,,
57,Q129568,,
60,Q255168,,
63,Q121951,,
64,Q205218,,
67,Q129153,,
70,Q83647,,
73,Q255578,,
74,Q176280,,
75,Q145648,,
78,Q260451,,
80,Q175159,,
81,Q258121,,
82,Q246694,,
85,Q201182,,
86,Q129452,,
87,Q179286,,
88,Q145642,,
89,Q263479,,
90,Q168457,,
91,Q221584,,
93,Q181941,,
95,Q287691,,
97,Q282013,,
98,Q279909,,
100,Q271053,,
102,Q303906,,
103,Q289298,,
104,Q307541,,
105,Q304145,,
108,Q307616,,
109,Q296768,,
110,Q270813,,
112,Q340350,,
113,Q296758,,
116,Q384083,,
118,Q270945,,
119,Q268751,,
122,Q302072,,
124,Q271180,,
128,Q385619,,
130,Q339905,,
131,Q295412,,
132,Q271242,,
133,Q307351,,
134,Q297161,,
135,Q271002,,
136,Q277849,,
143,Q339637,,
146,Q293968,,
148,Q298374,,
149,Q306748,,
150,Q287969,,
152,Q271120,,
154,Q366672,,
155,Q282755,,
156,Q271181,,
157,Q271335,,
158,Q271240,,
159,Q297853,,
160,Q271007,,
163,Q271257,,
166,Q282769,,
167,Q271082,,
169,Q283832,,
173,Q289649,,
182,Q478656,,
194,Q504454,,
198,Q413420,,
207,Q427314,,
232,Q426327,,
234,Q473677,,
253,Q473677,,
264,Q492641,,
274,Q479042,,
276,Q465884,,
277,Q579801,,
278,Q668933,,
279,Q695942,,
280,Q670220,,
282,Q684718,,
283,Q634021,,
285,Q653109,,
286,Q588054,,
287,Q675769,,
288,Q599318,,
290,Q665718,,
291,Q632092,,
292,Q639315,,
294,Q569800,,
295,Q610146,,
296,Q612314,,
297,Q611151,,
298,Q684518,,
301,Q584385,,
302,Q649659,,
303,Q693217,,
307,Q656167,,
308,Q627556,,
310,Q588873,,
312,Q580125,,
313,Q594554,,
314,Q684980,,
316,Q626045,,
317,Q600999,,
318,Q657725,,
320,Q591340,,
322,Q614210,,
323,Q586790,,
324,Q672247,,
325,Q666089,,
326,Q661749,,
328,Q632102,,
332,Q685477,,
333,Q578354,,
334,Q658205,,
336,Q589426,,
338,Q591958,,
339,Q584701,,
340,Q656562,,
341,Q644455,,
344,Q591466,,
346,Q596567,,
348,Q686593,,
351,Q661162,,
352,Q600419,,
360,Q521686,,
369,Q533915,,
370,Q521162,,
371,Q531767,,
375,Q528450,,
380,Q524379,,
395,Q509773,,
398,Q556590,,
401,Q515389,,
411,Q513949,,
416,Q520996,,
417,Q527270,,
434,Q527652,,
438,Q511421,,
441,Q548480,,
449,Q668254,,
454,Q660299,,
456,Q861268,,
458,Q834832,,
459,Q817252,,
460,Q760222,,
461,Q814706,,
463,Q745164,,
464,Q830484,,
466,Q813826,,
467,Q770153,,
469,Q870351,,
471,Q737196,,
473,Q748257,,
476,Q739032,,
479,Q739991,,
480,Q734356,,
481,Q744107,,
482,Q871517,,
483,Q719069,,
486,Q828221,,
488,Q732164,,
489,Q779286,,
490,Q784287,,
491,Q729613,,
492,Q876808,,
495,Q747975,,
497,Q876632,,
498,Q860675,,
499,Q764597,,
501,Q820330,,
505,Q790241,,
506,Q777901,,
507,Q832882,,
508,Q732253,,
509,Q861116,,
510,Q869379,,
511,Q809637,,
512,Q746023,,
513,Q862687,,
514,Q748434,,
516,Q768778,,
517,Q769021,,
518,Q760881,,
519,Q857052,,
521,Q784944,,
523,Q738946,,
525,Q847100,,
526,Q871289,,
528,Q831973,,
529,Q787758,,
530,Q743720,,
531,Q876775,,
533,Q798392,,
534,Q781644,,
537,Q730482,,
539,Q820231,,
540,Q776830,,
541,Q763860,,
542,Q728705,,
544,Q742815,,
547,Q922424,,
548,Q934920,,
550,Q955536,,
554,Q969636,,
555,Q972059,,
557,Q931503,,
558,Q905877,,
559,Q879471,,
560,Q877946,,
563,Q937262,,
564,Q918072,,
569,Q887035,,
571,Q937583,,
572,Q954385,,
573,Q925183,,
574,Q937883,,
575,Q922489,,
576,Q963062,,
578,Q877972,,
579,Q970691,,
582,Q928603,,
583,Q922836,,
584,Q969678,,
587,Q876816,,
588,Q961978,,
589,Q895675,,
590,Q907549,,
591,Q877980,,
593,Q940812,,
594,Q966534,,
595,Q922842,,
596,Q879786,,
597,Q953166,,
598,Q948703,,
601,Q893554,,
602,Q886954,,
603,Q946707,,
607,Q938745,,
608,Q879486,,
609,Q913062,,
612,Q970286,,
613,Q933517,,
614,Q891467,,
616,Q954453,,
617,Q951280,,
621,Q926368,,
622,Q953572,,
623,Q962019,,
624,Q962516,,
626,Q886386,,
627,Q933077,,
630,Q1013597,,
632,Q1016856,,
633,Q1016384,,
634,Q1014055,,
636,Q1016861,,
637,Q1016712,,
642,Q983893,,
643,Q1010630,,
644,Q1014038,,
645,Q1016846,,
646,Q974762,,
647,Q1014050,,
648,Q1010554,,
650,Q1016952,,
651,Q1013590,,
652,Q988294,,
653,Q1002624,,
654,Q1008793,,
655,Q994695,,
656,Q1290728,,
657,Q1332092,,
658,Q1446707,,
661,Q1483611,,
662,Q1290522,,
664,Q1255513,,
665,Q1474779,,
666,Q1445185,,
668,Q1449165,,
669,Q1453241,,
670,Q1240929,,
671,Q1235968,,
673,Q1479259,,
674,Q1284760,,
675,Q1377386,,
676,Q1464921,,
677,Q1323619,,
678,Q1202958,,
679,Q1383779,,
680,Q1361738,,
681,Q1235957,,
682,Q1272709,,
683,Q1370248,,
684,Q1454928,,
685,Q1447166,,
686,Q1388711,,
687,Q1422468,,
689,Q1354985,,
694,Q1478626,,
698,Q1423482,,
699,Q1416870,,
700,Q1312448,,
701,Q1329541,,
702,Q1344088,,
703,Q1235971,,
704,Q1343999,,
708,Q990083,,
709,Q999317,,
710,Q1016947,,
711,Q1004166,,
712,Q1012813,,
713,Q994927,,
719,Q1001505,,
721,Q995804,,
722,Q1016056,,
723,Q1016865,,
724,Q992142,,
725,Q1002377,,
728,Q1003212,,
729,Q1006739,,
730,Q972113,,
732,Q984831,,
734,Q974643,,
736,Q1016379,,
737,Q1016373,,
738,Q988504,,
739,Q1016075,,
740,Q1000129,,
741,Q1016057,,
742,Q1003260,,
743,Q1014060,,
744,Q1013594,,
745,Q1016327,,
749,Q972432,,
752,Q1016351,,
753,Q985014,,
754,Q1001154,,
755,Q1011674,,
756,Q1012701,,
759,Q979776,,
760,Q995809,,
761,Q1280877,,
762,Q1282571,,
763,Q1296983,,
764,Q1448296,,
765,Q1418579,,
766,Q1408858,,
769,Q1307842,,
770,Q1338193,,
772,Q1475205,,
773,Q1406851,,
774,Q1478884,,
775,Q1249998,,
776,Q1478888,,
777,Q1367795,,
778,Q1471840,,
779,Q1235957,,
780,Q1372181,,
782,Q1396765,,
783,Q1412601,,
784,Q1390389,,
785,Q1449114,,
786,Q1478889,,
788,Q1235843,,
789,Q1313243,,
791,Q1273208,,
792,Q1317244,,
793,Q1408923,,
794,Q1445475,,
796,Q1261725,,
798,Q1306067,,
800,Q1252935,,
801,Q1394600,,
802,Q1394600,,
804,Q1371058,,
805,Q1551349,,
806,Q1551369,,
807,Q1552712,,
808,Q1525232,,
809,Q1551382,,
810,Q1556820,,
811,Q1574389,,
812,Q1565387,,
815,Q1551306,,
816,Q1554356,,
818,Q1604817,,
819,Q1551287,,
820,Q1558823,,
821,Q1495534,,
822,Q1493142,,
823,Q1551320,,
824,Q1546757,,
825,Q1551331,,
827,Q1534993,,
828,Q1533298,,
829,Q1491328,,
830,Q1559732,,
831,Q1551294,,
832,Q1572742,,
833,Q1553495,,
834,Q1551291,,
835,Q1551309,,
836,Q1610313,,
837,Q1493452,,
838,Q1551338,,
839,Q1551355,,
840,Q1551319,,
841,Q1551286,,
842,Q1551374,,
843,Q1551358,,
844,Q1551330,,
845,Q1486714,,
846,Q1551345,,
847,Q1556137,,
849,Q1551350,,
850,Q1493463,,
851,Q1501148,,
852,Q1551348,,
853,Q1559702,,
854,Q1571925,,
855,Q1554813,,
856,Q1527613,,
857,Q1493471,,
860,Q1516613,,
861,Q1551345,,
862,Q1599139,,
863,Q1566951,,
864,Q1551310,,
866,Q1551333,,
867,Q1519013,,
868,Q1564081,,
869,Q1551315,,
870,Q1493563,,
871,Q1507554,,
872,Q1493146,,
873,Q1496525,,
875,Q1551364,,
876,Q1551381,,
877,Q1551332,,
878,Q1551286,,
880,Q1551360,,
882,Q1551375,,
883,Q1605752,,
884,Q1532004,,
886,Q1852636,,
888,Q1816536,,
889,Q1828841,,
890,Q1825794,,
891,Q1848980,,
892,Q1816458,,
893,Q1840644,,
894,Q1821497,,
895,Q1820231,,
896,Q1854003,,
897,Q1837502,,
898,Q1838827,,
899,Q1841840,,
900,Q1833060,,
901,Q1829930,,
902,Q1819651,,
904,Q1855280,,
905,Q1825191,,
906,Q1844704,,
907,Q1838903,,
908,Q1831291,,
909,Q1852458,,
910,Q1851843,,
911,Q1853046,,
912,Q1847205,,
913,Q1826876,,
914,Q1834367,,
915,Q1829582,,
917,Q1846471,,
918,Q1841051,,
920,Q1833017,,
921,Q1834114,,
922,Q1817447,,
923,Q1825149,,
924,Q1821011,,
925,Q1848775,,
927,Q1856814,,
929,Q1816374,,
930,Q1819773,,
931,Q1820683,,
933,Q1825937,,
934,Q1847847,,
935,Q1829953,,
937,Q1823471,,
938,Q1832575,,
939,Q1828671,,
940,Q1837474,,
941,Q1857569,,
943,Q1839127,,
946,Q1820375,,
947,Q1840699,,
948,Q1822715,,
949,Q1824637,,
950,Q1827086,,
951,Q1820063,,
952,Q1842374,,
953,Q1819207,,
955,Q1852432,,
956,Q1839613,,
957,Q1820810,,
958,Q1854484,,
959,Q1847579,,
960,Q1826311,,
961,Q1848016,,
962,Q1838781,,
963,Q1846444,,
964,Q1851630,,
965,Q1834690,,
968,Q1849435,,
969,Q1826326,,
970,Q1856850,,
971,Q1847367,,
972,Q1820122,,
974,Q1820133,,
975,Q1846683,,
976,Q1859966,,
977,Q1875637,,
978,Q1893217,,
979,Q1867744,,
980,Q1857949,,
982,Q1866866,,
983,Q1892417,,
984,Q1874373,,
986,Q1860451,,
987,Q1871899,,
988,Q1872700,,
990,Q1863106,,
991,Q1872271,,
992,Q1893279,,
993,Q1869005,,
997,Q1861353,,
998,Q1881586,,
999,Q1877298,,
1001,Q1876674,,
1002,Q1870712,,
1003,Q1874903,,
1004,Q1883010,,
1006,Q1890245,,
1007,Q1868947,,
1008,Q1869970,,
1009,Q1892909,,
1012,Q1886324,,
1013,Q1858905,,
1015,Q1879295,,
1016,Q1879854,,
1017,Q1860089,,
1018,Q1886784,,
1019,Q1878306,,
1020,Q1890105,,
1021,Q1879342,,
1022,Q1879365,,
1024,Q1862027,,
1025,Q1887491,,
1026,Q1863906,,
1027,Q1885651,,
1028,Q1870396,,
1030,Q1867030,,
1031,Q1887946,,
1032,Q1879543,,
1033,Q1894850,,
1034,Q1889191,,
1035,Q1872368,,
1036,Q1857610,,
