,wikidata,type,osmid
2,Q820213,,
8,Q1341859,,
11,Q1881842,,
13,Q1353913,,
16,Q1396522,,
21,Q1988921,,
26,Q1523173,,
27,Q1881842,,
30,Q1628599,,
37,Q1989733,,
42,Q2124377,,
44,Q2117579,,
45,Q1966420,,
48,Q1854100,,
51,Q1814164,,
56,Q2340944,,
67,Q1367814,,
68,Q1476673,,
70,Q270815,,
75,Q2124377,,
76,Q2341045,,
86,Q271276,,
90,Q166402,,
95,Q1989106,,
96,Q384547,,
97,Q2236108,,
105,Q3381416,,
107,Q3379020,,
116,Q2855618,,
120,Q3378582,,
130,Q2547890,,
135,Q2369746,,
137,Q3373452,,
140,Q3361663,,
143,Q3378263,,
144,Q2789445,,
145,Q3269287,,
147,Q3378780,,
148,Q3379033,,
151,Q2684448,,
152,Q3361793,,
156,Q2782550,,
164,Q2855618,,
169,Q3378651,,
179,Q2455669,,
180,Q3381347,,
184,Q2782550,,
186,Q4493343,,
193,Q2547890,,
199,Q2782550,,
200,Q10572844,,
212,Q10529500,,
213,Q10572813,,
219,Q10532385,,
222,Q10553425,,
233,Q10593239,,
237,Q10556692,,
241,Q10542574,,
242,Q10602710,,
253,Q10576083,,
254,Q10613674,,
268,Q10602919,,
273,Q10552247,,
276,Q10602214,,
278,Q10551940,,
279,Q10532288,,
280,Q10601923,,
281,Q10649810,,
286,Q10551225,,
290,Q10524235,,
291,Q10650565,,
294,Q10560716,,
297,Q10600938,,
300,Q10681373,,
302,Q10681910,,
306,Q10682140,,
307,Q10715649,,
310,Q10681429,,
312,Q10700338,,
313,Q10679274,,
318,Q10679299,,
321,Q10707937,,
326,Q10657857,,
332,Q10708026,,
334,Q10673186,,
335,Q10671031,,
342,Q10708798,,
343,Q10714195,,
344,Q10698662,,
345,Q10690681,,
348,Q10658322,,
350,Q10660775,,
351,Q10681078,,
371,Q10658769,,
374,Q10684481,,
375,Q10712537,,
378,Q10681138,,
388,Q10673186,,
390,Q10717679,,
391,Q10681019,,
393,Q10687904,,
397,Q10681309,,
402,Q16275700,,
405,Q10725819,,
406,Q16275952,,
409,Q16487428,,
410,Q16290969,,
414,Q16488629,,
415,Q10727277,,
416,Q16275833,,
419,Q16488572,,
420,Q16488861,,
421,Q16486583,,
426,Q16486690,,
427,Q16276130,,
428,Q16488876,,
429,Q16488741,,
432,Q16275840,,
434,Q10727211,,
435,Q11223227,,
440,Q16276046,,
445,Q11973100,,
453,Q16487810,,
456,Q16487663,,
460,Q16487505,,
462,Q10723997,,
463,Q15286467,,
464,Q15284721,,
466,Q10726244,,
468,Q15889292,,
469,Q10952225,,
471,Q16275863,,
472,Q11973100,,
475,Q16275929,,
477,Q16275841,,
481,Q10723991,,
484,Q10727520,,
488,Q10725807,,
489,Q10952225,,
491,Q10728731,,
494,Q16275982,,
497,Q16275831,,
498,Q16275571,,
500,Q16496593,,
501,Q16495966,,
504,Q16497017,,
505,Q16495801,,
506,Q16495750,,
507,Q16495914,,
508,Q16495753,,
509,Q16495756,,
510,Q16496496,,
511,Q16496793,,
513,Q16489082,,
515,Q16496209,,
517,Q16497024,,
518,Q16496205,,
521,Q16496298,,
522,Q16495795,,
523,Q16495696,,
526,Q16496718,,
529,Q16497057,,
530,Q16496898,,
531,Q16496910,,
532,Q16496451,,
534,Q16495954,,
535,Q16495865,,
537,Q16495658,,
540,Q16496039,,
541,Q16496224,,
542,Q16497019,,
543,Q16496738,,
544,Q16495839,,
545,Q16496159,,
547,Q16496330,,
548,Q16496518,,
549,Q16496151,,
550,Q16496045,,
551,Q16496591,,
555,Q16496190,,
556,Q16497002,,
559,Q16496884,,
560,Q16496921,,
561,Q16496117,,
563,Q16496218,,
564,Q16495707,,
565,Q16495882,,
566,Q16495991,,
567,Q16496169,,
568,Q16496775,,
571,Q16489093,,
572,Q16496289,,
574,Q16496010,,
575,Q16496543,,
576,Q16496498,,
577,Q16496006,,
578,Q16495473,,
579,Q16496271,,
582,Q16496965,,
583,Q16496545,,
586,Q16496791,,
589,Q16495673,,
590,Q16496112,,
592,Q16496581,,
593,Q16497051,,
594,Q16496261,,
596,Q16496649,,
597,Q16496517,,
599,Q16495885,,
600,Q10431823,,
604,Q10438506,,
605,Q10509720,,
610,Q4736290,,
614,Q5950110,,
618,Q10434668,,
620,Q10430503,,
622,Q10429655,,
626,Q4803847,,
627,Q9325516,,
635,Q10467710,,
639,Q6979862,,
643,Q6978278,,
644,Q10477212,,
646,Q10493756,,
649,Q10524033,,
650,Q10466628,,
652,Q10500902,,
653,Q4981896,,
654,Q10480477,,
655,Q10504978,,
660,Q10500186,,
662,Q5619172,,
666,Q6477597,,
670,Q4992062,,
675,Q10423514,,
677,Q10497233,,
682,Q7534249,,
684,Q5211063,,
685,Q10518614,,
686,Q10419127,,
689,Q10496947,,
691,Q6979909,,
692,Q10484413,,
693,Q10497190,,
696,Q10509087,,
697,Q16497342,,
699,Q16497396,,
706,Q16498525,,
707,Q16497867,,
708,Q16498399,,
709,Q16497245,,
710,Q16497956,,
711,Q16498375,,
712,Q16497502,,
715,Q16498233,,
717,Q16498084,,
719,Q16498456,,
