,wikidata,type,osmid
1,Q41087977,node,1534416706
9,Q10595106,node,488316701
13,Q28324378,way,626515412
14,Q10669622,node,1339524808
17,Q10651527,node,1033231059
18,Q1821451,way,383557266
22,Q10480255,node,335708225
23,Q39870416,way,600635948
24,Q10705230,node,1531089111
27,Q1235762,way,340824632
28,Q10698694,way,936135064
29,Q10668135,node,1029329683
30,Q10512437,node,930188070
31,Q26256803,way,1016536890
32,Q10649188,node,1531161050
33,Q7944301,node,1531157339
35,Q39880273,node,759752496
36,Q7651711,node,1033246068
37,Q10498603,node,1033101030
38,Q7666295,node,1033251175
39,Q7810653,node,1033251766
43,Q10713981,node,513981440
44,Q959479,way,945530149
45,Q10511043,node,1533332304
46,Q980133,node,513962861
48,Q10551436,node,1546337685
50,Q10434747,node,1531153797
52,Q28375675,node,1033125260
56,Q40549204,node,8688023886
57,Q10728413,node,1029352189
58,Q28375410,node,459031066
60,Q15728460,node,1033249493
61,Q10537326,node,1531135127
64,Q10478031,node,1531153563
66,Q10518666,node,1531160990
67,Q29167228,node,1033001746
70,Q10431416,node,358356239
71,Q10512302,node,9842206516
73,Q10406517,node,1033230851
78,Q10532070,node,1531154969
79,Q10718430,node,459834258
80,Q10518665,node,3992906617
81,Q10669746,node,1084421421
87,Q10678552,node,1030597815
88,Q33199992,node,1033122353
91,Q10691829,node,1033101066
93,Q10727616,node,1033119415
94,Q3378260,node,1033241197
96,Q33142452,node,1030663100
97,Q5612869,node,799793198
99,Q10561018,node,1033058275
101,Q10684346,node,1531161325
102,Q10520541,node,1546342123
104,Q1518751,node,1546344462
