,wikidata,type,osmid
2,Q221351,,
45,Q203395,,
68,Q180464,,
72,Q241370,,
76,Q301121,,
86,Q387108,,
92,Q381808,,
98,Q304719,,
104,Q301648,,
107,Q282238,,
111,Q381668,,
114,Q338950,,
117,Q367013,,
124,Q285032,,
126,Q278449,,
134,Q76269,,
152,Q160094,,
154,Q174586,,
158,Q162139,,
164,Q174194,,
175,Q130189,,
209,Q385466,,
210,Q371955,,
211,Q381808,,
219,Q288537,,
226,Q278010,,
236,Q555454,,
241,Q513344,,
242,Q526459,,
243,Q543335,,
245,Q550335,,
254,Q540512,,
273,Q525609,,
285,Q429304,,
308,Q493039,,
312,Q492994,,
314,Q484630,,
326,Q427206,,
331,Q484730,,
337,Q466997,,
339,Q474632,,
342,Q478595,,
365,Q531481,,
381,Q582746,,
387,Q564109,,
400,Q575865,,
401,Q597677,,
428,Q582306,,
452,Q583424,,
454,Q597097,,
458,Q583916,,
460,Q591998,,
462,Q619953,,
464,Q619716,,
468,Q619753,,
486,Q619825,,
494,Q619944,,
495,Q620101,,
500,Q619666,,
503,Q619755,,
509,Q619915,,
510,Q619672,,
511,Q619702,,
528,Q619956,,
529,Q619935,,
534,Q631235,,
542,Q619961,,
551,Q619940,,
562,Q598785,,
565,Q603430,,
582,Q598489,,
586,Q598589,,
587,Q598578,,
590,Q598627,,
591,Q598324,,
592,Q598566,,
604,Q608306,,
606,Q598637,,
608,Q598311,,
615,Q598515,,
617,Q598556,,
620,Q598526,,
626,Q598547,,
637,Q597828,,
644,Q597873,,
659,Q650388,,
661,Q650069,,
666,Q649802,,
671,Q650488,,
682,Q739260,,
698,Q652523,,
709,Q651654,,
715,Q652315,,
720,Q651520,,
722,Q652394,,
738,Q686923,,
744,Q656592,,
745,Q662071,,
754,Q681940,,
767,Q667965,,
777,Q652750,,
795,Q649914,,
798,Q650382,,
801,Q643783,,
803,Q650548,,
816,Q650522,,
831,Q650116,,
833,Q650449,,
835,Q650535,,
839,Q650129,,
848,Q651964,,
862,Q652482,,
870,Q651354,,
871,Q651533,,
872,Q652245,,
877,Q651346,,
883,Q652079,,
893,Q657369,,
901,Q656993,,
903,Q652776,,
909,Q673202,,
924,Q702844,,
944,Q723622,,
957,Q705963,,
997,Q764032,,
1003,Q770734,,
1034,Q816717,,
1039,Q778990,,
1058,Q766860,,
1060,Q889889,,
1066,Q843204,,
1087,Q841748,,
1094,Q855170,,
1101,Q889486,,
1105,Q837270,,
1106,Q851170,,
1115,Q889350,,
1126,Q843204,,
1142,Q963568,,
1152,Q1000025,,
1162,Q967711,,
1168,Q970413,,
1179,Q953851,,
1180,Q978595,,
1181,Q998862,,
1184,Q978200,,
1192,Q978217,,
1202,Q1018059,,
1204,Q1014907,,
1207,Q1015291,,
1210,Q1014302,,
1218,Q998862,,
1221,Q952609,,
1235,Q1094289,,
1237,Q1108990,,
1238,Q1111094,,
1252,Q1130612,,
1255,Q1099383,,
