,wikidata,type,osmid
0,Q307336,,
2,Q478165,,
3,Q995525,,
7,Q289298,,
8,Q781879,,
10,Q185947,,
11,Q712299,,
12,Q866366,,
15,Q835168,,
19,Q531394,,
20,Q891350,,
21,Q866366,,
22,Q296768,,
24,Q435812,,
25,Q340350,,
26,Q296758,,
27,Q889496,,
28,Q661121,,
33,Q729216,,
34,Q186345,,
35,Q147009,,
36,Q423466,,
38,Q676673,,
39,Q892513,,
43,Q473677,,
44,Q846657,,
47,Q781879,,
48,Q1004725,,
49,Q513949,,
50,Q889218,,
51,Q653511,,
52,Q620519,,
53,Q264372,,
54,Q366672,,
55,Q835168,,
58,Q473677,,
64,Q963132,,
66,Q589426,,
69,Q285038,,
71,Q499427,,
72,Q847100,,
73,Q686152,,
74,Q537736,,
76,Q627866,,
79,Q435803,,
80,Q963413,,
81,Q963146,,
83,Q120275,,
85,Q940840,,
86,Q886386,,
87,Q993216,,
89,Q1514841,,
91,Q1614092,,
93,Q1408858,,
94,Q1614108,,
95,Q1170074,,
96,Q1687473,,
99,Q1665917,,
100,Q1426334,,
101,Q1618808,,
102,Q1682289,,
105,Q1493142,,
111,Q1150413,,
112,Q1432914,,
113,Q1398979,,
118,Q1573660,,
119,Q1185055,,
120,Q1252481,,
123,Q1678794,,
126,Q1437880,,
127,Q1456187,,
128,Q1614050,,
129,Q1408923,,
132,Q1558033,,
133,Q1145722,,
134,Q1559702,,
140,Q1509378,,
141,Q1184873,,
144,Q1288326,,
145,Q1567100,,
146,Q1572005,,
148,Q1394042,,
149,Q1465208,,
150,Q1240929,,
151,Q1146587,,
153,Q1027197,,
156,Q1614060,,
157,Q1684563,,
159,Q1388711,,
160,Q1394756,,
161,Q1397372,,
162,Q1185198,,
163,Q1478626,,
164,Q1255784,,
165,Q1250411,,
167,Q1530114,,
168,Q1251658,,
169,Q1416870,,
170,Q1024406,,
171,Q1344088,,
173,Q1650945,,
180,Q2648247,,
181,Q2423447,,
183,Q2604920,,
187,Q2525179,,
190,Q2598665,,
191,Q3358404,,
199,Q2494343,,
202,Q2411443,,
208,Q3058143,,
209,Q2577280,,
213,Q2998877,,
223,Q2968740,,
224,Q3372686,,
226,Q2850296,,
230,Q2849608,,
234,Q2892790,,
235,Q2858444,,
240,Q2458340,,
244,Q2577786,,
246,Q3372089,,
249,Q3378255,,
253,Q2071322,,
255,Q1775445,,
257,Q1773487,,
258,Q1727675,,
259,Q2240815,,
262,Q1742973,,
263,Q2221368,,
266,Q1958422,,
268,Q1863165,,
269,Q1742949,,
270,Q1825162,,
271,Q2012460,,
272,Q2240592,,
273,Q1734530,,
274,Q1718267,,
275,Q2036925,,
278,Q2213576,,
279,Q2089845,,
280,Q1714824,,
281,Q1958390,,
284,Q1910431,,
287,Q1742928,,
288,Q1742867,,
289,Q2243180,,
290,Q1752761,,
291,Q1742968,,
292,Q1765857,,
293,Q2016800,,
294,Q1742921,,
295,Q2077655,,
297,Q2291135,,
298,Q2022991,,
299,Q1742876,,
300,Q2352000,,
301,Q1958076,,
304,Q1796227,,
305,Q1742852,,
306,Q1742974,,
308,Q1723335,,
314,Q2187673,,
317,Q1742929,,
320,Q2019243,,
321,Q2227820,,
322,Q1742875,,
323,Q1788771,,
325,Q1979608,,
326,Q1742872,,
327,Q2051751,,
328,Q1742951,,
329,Q1742889,,
330,Q1742947,,
334,Q1742937,,
335,Q1742873,,
339,Q1789515,,
342,Q1868879,,
343,Q2791306,,
345,Q3367026,,
348,Q2608068,,
352,Q2591146,,
354,Q3433333,,
357,Q4729386,,
359,Q3603051,,
360,Q4171138,,
361,Q4411467,,
364,Q4732964,,
373,Q4301532,,
375,Q3433394,,
376,Q4930916,,
378,Q4356568,,
380,Q3905451,,
382,Q3817668,,
383,Q5035260,,
384,Q4788879,,
385,Q4939768,,
386,Q4997071,,
387,Q4165241,,
388,Q4412082,,
389,Q4579652,,
391,Q4567372,,
392,Q5044748,,
393,Q4273483,,
394,Q5089707,,
395,Q4348626,,
397,Q4984183,,
399,Q4505318,,
402,Q3501175,,
403,Q3429104,,
405,Q3428045,,
407,Q4940890,,
411,Q4930912,,
412,Q3438472,,
413,Q4412566,,
415,Q4993441,,
416,Q4566223,,
417,Q3458890,,
420,Q4240404,,
422,Q3436957,,
424,Q4811099,,
427,Q3644321,,
428,Q4135807,,
433,Q3888233,,
435,Q3672234,,
436,Q4426003,,
439,Q4357026,,
441,Q3430277,,
442,Q4956599,,
446,Q5643507,,
450,Q6436546,,
451,Q6814180,,
452,Q5626721,,
453,Q10437948,,
454,Q10432854,,
456,Q10434935,,
457,Q10436905,,
458,Q10437022,,
460,Q10437684,,
464,Q10431938,,
465,Q10436565,,
466,Q10436379,,
467,Q10436147,,
468,Q10435056,,
469,Q10436198,,
470,Q10436487,,
472,Q10433384,,
473,Q10435538,,
474,Q10434712,,
475,Q10436577,,
477,Q10432671,,
478,Q10434833,,
479,Q10436105,,
481,Q10436365,,
482,Q10431900,,
483,Q10431979,,
484,Q10435019,,
485,Q10435973,,
486,Q10434638,,
487,Q10436469,,
488,Q10433314,,
489,Q10434726,,
490,Q10431813,,
491,Q10436366,,
494,Q5317022,,
495,Q6859638,,
498,Q5320356,,
499,Q6438048,,
503,Q5511494,,
505,Q6421163,,
506,Q5364695,,
508,Q5359989,,
510,Q5420069,,
511,Q6424370,,
512,Q5350394,,
513,Q6763162,,
514,Q5785539,,
515,Q5285394,,
516,Q5447523,,
517,Q5340270,,
518,Q6112842,,
519,Q5508309,,
521,Q5587843,,
522,Q5377573,,
523,Q5625935,,
525,Q5450896,,
527,Q5361122,,
528,Q5448102,,
530,Q6532285,,
531,Q5354009,,
532,Q5876859,,
534,Q5460951,,
535,Q6419724,,
536,Q5125026,,
537,Q5431912,,
538,Q5464485,,
539,Q6419470,,
541,Q5697708,,
542,Q6710909,,
543,Q5612092,,
545,Q5401283,,
546,Q5963290,,
547,Q5618179,,
549,Q6738652,,
552,Q6863930,,
555,Q5350415,,
558,Q6699139,,
560,Q7071390,,
565,Q5964618,,
566,Q5431911,,
567,Q5489505,,
568,Q5220179,,
569,Q5398128,,
571,Q8983906,,
574,Q10397084,,
575,Q10400935,,
579,Q9356228,,
580,Q10310644,,
582,Q10397102,,
584,Q10351953,,
588,Q7482240,,
590,Q10363650,,
591,Q7366391,,
592,Q10401116,,
593,Q7838003,,
599,Q7534024,,
601,Q7335054,,
602,Q7429943,,
603,Q10351957,,
604,Q7838003,,
606,Q7813004,,
607,Q8077149,,
610,Q7963009,,
612,Q10397095,,
615,Q9011769,,
617,Q7911584,,
618,Q10401137,,
620,Q7629916,,
621,Q7618027,,
623,Q10397196,,
626,Q7928149,,
628,Q7587608,,
630,Q8077277,,
632,Q7088549,,
635,Q10397484,,
636,Q7911936,,
638,Q9221366,,
639,Q7106970,,
640,Q9170004,,
642,Q7231222,,
643,Q10398205,,
645,Q8392238,,
646,Q7618027,,
647,Q7944495,,
652,Q8079099,,
653,Q10294080,,
655,Q10397881,,
656,Q10400941,,
657,Q9105594,,
660,Q10403714,,
661,Q10412990,,
662,Q10412413,,
664,Q10405395,,
666,Q10411541,,
667,Q10404156,,
668,Q10411469,,
670,Q10406505,,
671,Q10412995,,
672,Q10408343,,
673,Q10413015,,
674,Q10412972,,
675,Q10404419,,
676,Q10406803,,
677,Q10408352,,
678,Q10406548,,
679,Q10403219,,
681,Q10413006,,
682,Q10412996,,
683,Q10405169,,
685,Q10413010,,
686,Q10413012,,
688,Q10413017,,
689,Q10413000,,
690,Q10413004,,
691,Q10412985,,
692,Q10417007,,
693,Q10413022,,
694,Q10413020,,
695,Q10418074,,
696,Q10425604,,
697,Q10418953,,
698,Q10424174,,
699,Q10426054,,
700,Q10419800,,
702,Q10416133,,
703,Q10425495,,
704,Q10419844,,
705,Q10417883,,
706,Q10419828,,
707,Q10425275,,
708,Q10420401,,
709,Q10426336,,
710,Q10426657,,
712,Q10425732,,
714,Q10418520,,
715,Q10426541,,
717,Q10418009,,
718,Q10416126,,
719,Q10418316,,
720,Q10418940,,
721,Q10417123,,
722,Q10421231,,
723,Q10423677,,
724,Q10416949,,
725,Q10417119,,
727,Q10419792,,
728,Q10416127,,
731,Q10413023,,
732,Q10419914,,
734,Q10426702,,
735,Q10418329,,
736,Q10435179,,
737,Q10432107,,
738,Q10432074,,
739,Q10435614,,
740,Q10433741,,
741,Q10431953,,
742,Q10437120,,
744,Q10433923,,
745,Q10434052,,
746,Q10433127,,
747,Q10433436,,
748,Q10432969,,
749,Q10433121,,
750,Q10433120,,
751,Q10433565,,
752,Q10431946,,
753,Q10435022,,
754,Q10431881,,
755,Q10433315,,
756,Q10433046,,
757,Q10433724,,
758,Q10434619,,
759,Q10435066,,
761,Q10433116,,
762,Q10433554,,
763,Q10435946,,
764,Q10436049,,
765,Q10436950,,
766,Q10435896,,
767,Q10437750,,
768,Q10432782,,
769,Q10435971,,
770,Q10436284,,
771,Q10432841,,
772,Q10435133,,
774,Q10433175,,
775,Q10433507,,
776,Q10434878,,
778,Q10433207,,
779,Q10436364,,
780,Q10436359,,
782,Q10436441,,
783,Q10433123,,
784,Q10431909,,
785,Q10433237,,
786,Q10433138,,
788,Q10433324,,
790,Q10436078,,
791,Q10435893,,
792,Q10406515,,
793,Q10412446,,
794,Q10406516,,
795,Q10401393,,
796,Q10412987,,
797,Q10405674,,
799,Q10407158,,
801,Q10402532,,
803,Q10412984,,
804,Q10413011,,
805,Q10404353,,
806,Q10412988,,
807,Q10412952,,
809,Q10406592,,
