,wikidata,type,osmid
3,Q927197,,
6,Q1566083,,
10,Q2792158,,
11,Q3195954,,
12,Q3293729,,
13,Q3301243,,
14,Q3332485,,
15,Q3332490,,
16,Q3332493,,
18,Q3409647,,
19,Q3595823,,
20,Q4152864,,
21,Q4236917,,
23,Q4287930,,
24,Q4287928,,
25,Q4287939,,
26,Q4287937,,
27,Q4287943,,
28,Q4287941,,
29,Q4287944,,
31,Q4287954,,
33,Q4287964,,
34,Q4308855,,
36,Q4442385,,
37,Q4502459,,
39,Q4702163,,
40,Q4702240,,
41,Q4702401,,
42,Q4702452,,
43,Q4702600,,
44,Q4703176,,
45,Q4703234,,
48,Q4746764,,
50,Q5299057,,
52,Q5626500,,
54,Q5714739,,
55,Q5854526,,
56,Q5860687,,
57,Q5862789,,
58,Q5864388,,
59,Q5869478,,
60,Q5869663,,
61,Q5870143,,
63,Q5874882,,
64,Q5879234,,
65,Q5880425,,
66,Q5880440,,
67,Q5881160,,
68,Q5881791,,
70,Q5883763,,
71,Q5885318,,
72,Q5885564,,
73,Q5885741,,
74,Q5887843,,
77,Q29661,,
78,Q116981,,
79,Q162684,,
80,Q163164,,
82,Q338489,,
83,Q429970,,
84,Q541901,,
85,Q636048,,
88,Q741563,,
89,Q760838,,
90,Q772421,,
91,Q835185,,
92,Q842165,,
93,Q858729,,
96,Q986462,,
99,Q1187626,,
100,Q1207503,,
101,Q1239520,,
102,Q1276151,,
103,Q1367373,,
104,Q1476364,,
106,Q1660987,,
107,Q1796117,,
108,Q1916589,,
109,Q1934491,,
111,Q1961140,,
113,Q2123017,,
115,Q2239217,,
116,Q2290068,,
119,Q2559074,,
120,Q2569011,,
121,Q2635089,,
122,Q2822654,,
124,Q2919325,,
126,Q3064276,,
127,Q3064277,,
128,Q3064282,,
129,Q3064283,,
130,Q3064280,,
131,Q3064281,,
138,Q3338322,,
139,Q3372325,,
144,Q16982864,,
145,Q20502395,,
147,Q104534529,,
149,Q32822,,
151,Q60850,,
152,Q318880,,
157,Q12654912,,
159,Q12659978,,
167,Q12661362,,
182,Q12677508,,
187,Q12680306,,
198,Q16470479,,
204,Q16476066,,
214,Q16476363,,
216,Q16476441,,
217,Q16477382,,
219,Q115950137,,
221,Q625586,,
222,Q625663,,
223,Q625744,,
224,Q695166,,
229,Q5171565,,
231,Q6064660,,
234,Q7260996,,
239,Q7864166,,
240,Q7896098,,
241,Q7923697,,
242,Q7934736,,
243,Q7987725,,
248,Q11378094,,
249,Q11382529,,
250,Q11391158,,
254,Q11417330,,
268,Q11525600,,
272,Q11568631,,
285,Q11648276,,
290,Q11667596,,
291,Q11670323,,
294,Q12589757,,
295,Q12592972,,
296,Q12593183,,
297,Q12595557,,
298,Q66199409,,
299,Q115227571,,
301,Q3550815,,
302,Q3551454,,
303,Q3551473,,
304,Q3551717,,
306,Q3577910,,
308,Q3695552,,
309,Q3863628,,
310,Q3894788,,
311,Q4026847,,
313,Q4115969,,
314,Q4115972,,
316,Q4119601,,
318,Q4119673,,
319,Q4119822,,
320,Q4120165,,
321,Q4120330,,
322,Q4120343,,
324,Q4120601,,
326,Q4221178,,
327,Q4239243,,
328,Q4248856,,
329,Q4251876,,
332,Q5892026,,
333,Q5893147,,
334,Q5893569,,
335,Q5895017,,
336,Q5895245,,
337,Q5900461,,
339,Q5907054,,
341,Q5936526,,
342,Q5937490,,
344,Q5942689,,
345,Q5954417,,
346,Q5958479,,
347,Q5958720,,
351,Q6070199,,
352,Q6146416,,
353,Q6561490,,
355,Q6728552,,
356,Q6896295,,
357,Q7183982,,
358,Q7404512,,
359,Q7701411,,
360,Q8050419,,
361,Q8077698,,
364,Q12060961,,
365,Q12192602,,
366,Q12192607,,
367,Q12192611,,
368,Q12192613,,
369,Q12192626,,
370,Q12192631,,
371,Q12192638,,
372,Q12192646,,
373,Q12192652,,
374,Q12192653,,
375,Q12192660,,
376,Q12204278,,
377,Q12211226,,
378,Q12241639,,
379,Q12241648,,
380,Q12241661,,
381,Q12241668,,
382,Q12241672,,
383,Q12242798,,
384,Q12495928,,
385,Q12817094,,
386,Q12827959,,
388,Q13081828,,
390,Q13422408,,
391,Q14980598,,
394,Q16053991,,
396,Q16328209,,
398,Q17347132,,
399,Q18125498,,
401,Q18249813,,
402,Q18326838,,
403,Q18354788,,
404,Q18355512,,
406,Q18357192,,
408,Q18405178,,
409,Q18405281,,
410,Q18408019,,
411,Q18431301,,
412,Q18431311,,
413,Q18706195,,
414,Q18712301,,
415,Q18712523,,
416,Q18715451,,
417,Q19573389,,
418,Q19599686,,
419,Q19599711,,
420,Q19599743,,
421,Q19599897,,
422,Q19600021,,
423,Q19605502,,
424,Q19611962,,
425,Q19615054,,
426,Q19725670,,
427,Q19737690,,
428,Q19867877,,
429,Q19904507,,
430,Q20111083,,
432,Q20499584,,
433,Q20536092,,
434,Q20536422,,
435,Q20536516,,
436,Q20709264,,
437,Q21189318,,
439,Q21481186,,
440,Q21714593,,
441,Q21771873,,
442,Q22032153,,
444,Q22080316,,
445,Q22080750,,
446,Q22096094,,
447,Q22689956,,
448,Q23005865,,
449,Q23021560,,
450,Q23304380,,
451,Q23653339,,
452,Q23776804,,
453,Q23808450,,
454,Q23825107,,
455,Q23975604,,
456,Q24707683,,
457,Q24892546,,
458,Q24907159,,
