,wikidata,type,osmid
0,Q251538,way,30514270
1,Q218738,way,353810277
3,Q255228,way,858105044
4,Q250026,way,83334472
5,Q178162,way,98446291
6,Q217226,way,196954408
7,Q251707,way,842489371
8,Q194316,relation,6641648
9,Q224558,relation,6755251
10,Q223416,relation,10867719
11,Q219287,way,237174210
12,Q223499,way,81298309
13,Q265994,relation,3403461
14,Q264643,way,42019250
15,Q247165,way,41700571
16,Q263652,relation,12734061
17,Q181661,way,996855240
18,Q197933,way,139491331
19,Q201626,way,251576854
20,Q178021,relation,10150161
21,Q197915,way,791137109
22,Q240694,way,469802492
23,Q183494,way,463658778
24,Q177689,way,167081531
25,Q257433,way,383003544
26,Q259867,way,180735799
27,Q196087,way,450113028
28,Q226715,way,177334048
29,Q256013,way,502410396
30,Q210559,way,425295012
31,Q201785,way,175759487
32,Q206349,relation,11951583
33,Q242066,way,148396221
34,Q182029,way,101154997
35,Q252768,way,57015602
36,Q193439,way,874795227
37,Q182259,way,289039637
38,Q255039,way,312259612
39,Q204853,way,322815282
40,Q257631,relation,3360535
41,Q259426,way,651610575
42,Q256534,way,98519966
43,Q253786,way,42019341
44,Q221279,relation,12306335
46,Q181637,node,2097639554
47,Q176634,way,332512451
48,Q177473,node,410805375
49,Q206277,way,12786040
50,Q257776,way,160948800
51,Q240706,relation,3695546
52,Q180129,node,10046452751
53,Q257903,way,367140945
54,Q186457,way,76091889
55,Q255637,way,19881111
56,Q255345,way,50557531
57,Q211734,relation,13105563
58,Q201374,way,34149240
59,Q177844,way,170118619
60,Q193682,relation,9436735
61,Q182132,way,289038959
62,Q193408,way,237186082
63,Q198036,way,421616615
64,Q265017,node,1042025717
65,Q192733,node,26609007
66,Q181479,way,198356187
67,Q215327,way,425291777
69,Q177216,way,598997467
70,Q182789,way,411359425
71,Q197898,way,790750199
73,Q327689,way,23751439
74,Q286727,way,223629036
75,Q387560,relation,9484398
77,Q382546,way,84575399
78,Q266448,way,167560466
79,Q381653,way,90834745
80,Q277141,way,697458247
81,Q319654,way,198597589
82,Q284253,node,2452866864
83,Q386864,way,163717459
84,Q317619,way,142228796
85,Q313587,way,492537654
87,Q372239,way,836083729
88,Q287077,way,177514184
89,Q289972,way,364428030
90,Q330015,way,851424893
91,Q381677,way,252482451
93,Q305185,way,42019486
94,Q371500,way,295776319
95,Q333137,way,232772321
96,Q381643,way,326084669
97,Q326268,way,253007642
99,Q290527,way,26346595
100,Q284240,way,498555275
101,Q385191,way,224243578
102,Q290929,way,38108891
103,Q349673,relation,535525
105,Q286872,way,320271214
106,Q384788,relation,8940835
108,Q282909,way,4773441
109,Q278667,relation,10734455
110,Q385356,way,297249110
112,Q269294,way,166589674
113,Q332302,way,252259006
115,Q372280,way,77194108
116,Q338911,relation,9263615
118,Q372622,node,1042026529
119,Q326468,way,262489368
120,Q304438,way,949531944
121,Q283970,way,567855358
122,Q372317,way,53085101
123,Q370274,way,136299057
125,Q371471,way,482873673
127,Q385406,relation,5141542
128,Q123222,relation,13424855
129,Q156971,way,231093392
130,Q130927,node,1042037178
131,Q93617,way,148286173
132,Q117708,relation,85471
133,Q175897,way,390604273
135,Q153191,way,511157906
136,Q139983,way,38811543
137,Q158211,relation,3936874
138,Q81512,way,656548298
139,Q130864,way,224790704
140,Q129040,way,1053408097
141,Q130915,way,46427467
142,Q127955,way,238163974
143,Q81362,way,759276136
144,Q143224,way,32603757
145,Q82882,way,169972970
146,Q174140,way,714511098
147,Q80960,way,167940752
148,Q165146,way,319449114
149,Q130946,way,240921256
150,Q81569,relation,13532396
151,Q127157,way,433060094
153,Q117807,way,515622125
155,Q127148,way,149097777
156,Q170343,way,169186384
157,Q106119,way,166164837
159,Q121760,way,28058053
160,Q130863,way,676915821
161,Q128016,way,142163337
162,Q81319,way,221348246
163,Q127951,way,89088458
165,Q122668,way,1080692722
166,Q174764,way,205742449
167,Q127958,way,944528454
168,Q155359,way,372828272
169,Q170169,way,10367649
170,Q174233,way,507841374
171,Q118696,way,14346692
172,Q151121,relation,9267410
173,Q175028,way,157309115
174,Q99172,relation,949871
176,Q116725,way,57015910
177,Q114345,relation,14643413
178,Q127671,way,1185391703
179,Q166276,way,167025457
180,Q81575,way,580149283
181,Q81514,way,1055760536
182,Q127331,way,666909831
183,Q86473,way,58778254
184,Q137695,node,1042030943
185,Q176576,way,273081670
186,Q130193,relation,1374701
187,Q175194,way,328648615
188,Q93902,way,345742437
189,Q176187,node,711447478
190,Q141677,way,266254855
191,Q120326,way,568568675
192,Q82240,way,57010613
193,Q94904,node,1042028506
194,Q153592,relation,4049921
195,Q166512,way,140231950
196,Q80982,way,119359590
197,Q81552,node,1042037182
198,Q139875,way,86585507
199,Q127721,relation,8971300
200,Q86446,relation,12733706
201,Q158732,relation,3925268
202,Q133796,way,57015147
203,Q130270,way,620621229
204,Q111731,way,184560979
205,Q127530,way,113657169
206,Q151846,way,159974733
207,Q81573,way,1009373307
208,Q381428,way,105042909
212,Q281305,node,1042049756
213,Q386749,way,239445983
214,Q369185,relation,6176124
215,Q279167,way,45456731
216,Q373577,way,210432120
217,Q287371,way,315950596
218,Q267645,way,75208211
220,Q370924,way,237854913
221,Q372615,way,368475266
222,Q269633,relation,10619187
223,Q381688,relation,14224857
224,Q374558,way,307469261
225,Q282867,way,550183103
227,Q387048,way,502741194
228,Q534251,way,107982289
229,Q507683,way,836098296
230,Q555489,way,1164770486
231,Q513609,way,520332207
232,Q518910,relation,13134477
233,Q559107,relation,1903184
234,Q555444,way,785176496
235,Q522432,relation,15638128
237,Q555863,way,119442674
238,Q537950,relation,14233881
239,Q546587,way,258822861
240,Q535161,way,175757629
244,Q531664,way,35606903
246,Q548523,way,122206975
247,Q525377,relation,9535653
248,Q530071,relation,3187567
249,Q550989,way,871621753
250,Q510715,way,86989995
251,Q513689,way,361918818
252,Q555412,way,138524809
253,Q555658,node,1042051448
255,Q517037,relation,8255731
256,Q536585,way,612834400
257,Q532778,relation,8269313
258,Q515748,relation,9044579
259,Q522496,way,186501693
260,Q528578,relation,6894703
261,Q525030,relation,10749710
262,Q555654,way,733069769
263,Q513474,relation,2225657
264,Q543189,way,42019347
265,Q531800,way,101968188
266,Q555437,way,126475260
267,Q531178,relation,2815931
268,Q529143,way,135388221
269,Q556065,way,831694727
270,Q558204,relation,1970307
271,Q539298,way,154253208
272,Q512128,way,113482644
274,Q555419,way,957386799
275,Q540273,way,48069171
276,Q542734,way,198337987
277,Q555496,way,384218535
278,Q526488,way,33005585
279,Q515522,way,224428692
280,Q428081,way,532565033
281,Q493759,way,224554927
282,Q484718,way,550346709
283,Q505421,relation,147154
284,Q392784,way,82953370
286,Q478620,way,665995354
287,Q484722,way,550346063
288,Q428353,way,576362072
289,Q465071,way,237594029
290,Q476480,way,677721258
291,Q428292,relation,2614519
292,Q491213,node,1042056349
293,Q466786,way,141207228
294,Q430485,way,132999307
295,Q482315,way,400064318
296,Q390522,way,44402430
297,Q432481,relation,11044293
298,Q432474,way,178105923
299,Q492694,way,23886074
300,Q488355,relation,8411989
301,Q392790,way,179263642
302,Q485662,way,343634905
303,Q483831,way,550347802
304,Q426795,way,430674384
305,Q491767,way,268762444
306,Q401700,way,37231777
307,Q503364,way,252746837
309,Q427003,way,204283284
310,Q388535,way,64689452
311,Q430333,way,670263104
313,Q387704,way,476389665
315,Q477677,relation,13653438
316,Q420847,relation,11258882
317,Q387593,way,224792009
318,Q500253,way,1079531274
319,Q490189,way,222802082
320,Q500945,relation,2798244
321,Q489736,way,504767148
322,Q485688,node,1042056507
323,Q421811,way,428121878
324,Q389241,relation,11212141
325,Q491258,way,95038648
327,Q488368,relation,11763026
328,Q474682,way,169261811
329,Q389079,way,107544813
330,Q431097,way,905083726
332,Q461793,way,135896473
333,Q445642,relation,11064299
334,Q452290,node,369016486
335,Q387628,way,1062920418
336,Q477555,relation,14655366
338,Q472125,way,332073531
340,Q432334,way,1029167497
341,Q498954,way,167421680
343,Q459156,way,5020209
344,Q388563,way,224551508
345,Q430490,way,630320796
346,Q504382,way,440701548
347,Q389802,way,867641252
348,Q389327,way,158049110
349,Q501083,way,106806430
350,Q502670,way,23633604
351,Q473067,way,92722797
352,Q429446,node,211385636
353,Q392728,relation,4075649
354,Q542588,way,245526659
355,Q527031,relation,8310261
356,Q513684,way,175770954
357,Q521292,way,204339006
358,Q522898,way,421499389
359,Q511349,way,116804127
360,Q555940,way,157716077
361,Q517600,way,463441974
362,Q542588,way,245526659
363,Q555431,relation,7454753
364,Q547124,relation,12686587
366,Q556056,way,213485751
367,Q530773,way,39249110
368,Q507771,way,86995974
369,Q542097,node,410363186
370,Q517873,way,74362857
371,Q545641,way,37283429
372,Q528184,way,322915733
373,Q527157,way,93583385
374,Q555858,way,290870608
375,Q520142,way,472806501
376,Q537632,way,399026847
377,Q555406,way,138272323
378,Q525486,relation,2589459
379,Q505572,way,28927870
380,Q587399,node,1042046451
382,Q597508,node,1042031935
383,Q581683,way,407728599
384,Q597647,way,1147422709
385,Q597405,node,368395920
386,Q591971,way,224678640
388,Q573524,way,150895887
389,Q581004,node,312709005
390,Q572387,way,28719635
391,Q573379,node,26608859
392,Q566536,way,318501876
393,Q597139,way,209872591
394,Q584102,way,353601828
395,Q597483,way,495906627
396,Q597543,node,2828439001
397,Q571612,way,497837854
398,Q593237,way,206230097
399,Q597471,way,304167561
402,Q559454,way,124641347
403,Q597664,way,246332078
404,Q597081,relation,3556145
405,Q576468,way,285032683
406,Q580554,way,1102853813
407,Q569168,way,139090179
408,Q581901,way,263823257
409,Q597460,way,1071060497
410,Q597669,way,591365318
411,Q597321,relation,6379047
412,Q592770,way,160025287
413,Q597631,way,224534817
414,Q597308,way,321817547
415,Q588038,way,136900427
416,Q571536,way,69575571
417,Q571356,way,134949451
418,Q597000,node,368947322
419,Q581545,way,93759497
420,Q597742,way,8078926
421,Q587675,way,136895397
422,Q592206,way,51473285
423,Q586862,way,372224762
424,Q597419,way,160124717
425,Q597035,way,413771141
426,Q591028,way,44175861
427,Q586065,node,26608719
429,Q589550,way,605945866
430,Q573547,way,85000933
431,Q587801,way,575328853
432,Q597396,way,185812476
433,Q597496,way,186485223
434,Q597718,way,355289988
435,Q597331,way,119933418
436,Q597021,way,481202581
437,Q597556,way,107546115
438,Q597649,way,209679121
439,Q580409,way,386864426
440,Q594223,way,130967700
441,Q590005,way,333350254
442,Q597007,way,1146571868
443,Q570873,way,155204200
444,Q584491,way,333513627
445,Q597484,way,232207434
446,Q587560,way,527810154
447,Q577790,way,218711160
448,Q592172,way,254099650
449,Q576956,way,310880535
450,Q593862,way,296359541
451,Q597590,way,32306085
453,Q583587,way,228750624
455,Q597487,way,253427651
456,Q583453,way,286787664
457,Q577067,way,75208108
459,Q597390,node,369143845
461,Q597366,relation,14240027
463,Q630524,way,85746992
465,Q619873,way,308804217
466,Q619947,way,238220155
467,Q619977,way,42019232
469,Q619590,node,369147644
470,Q632277,way,37923960
471,Q619876,way,382908068
472,Q619653,way,165621971
473,Q620071,way,544600208
474,Q619949,way,288606989
475,Q619952,node,7164923154
476,Q619933,way,90850505
477,Q619659,way,886817914
478,Q620032,way,1096061352
479,Q619644,way,482327503
480,Q620078,way,273230345
481,Q619579,node,369003724
482,Q620706,way,753780246
483,Q619997,way,718215796
484,Q634688,relation,3904284
485,Q620037,way,150351487
487,Q620068,way,978275286
488,Q620446,way,71386702
489,Q619924,node,369022456
490,Q619959,way,571794614
491,Q619572,way,96761393
492,Q630645,way,39537616
493,Q620026,way,1010234080
496,Q619837,way,524657068
497,Q623400,way,359183757
498,Q620082,way,924960702
499,Q625782,node,1042056416
501,Q637948,way,879472290
502,Q635826,node,8143186395
504,Q620047,way,117567617
505,Q635361,way,209681674
506,Q619607,way,1095052775
507,Q619651,way,1096081263
508,Q632410,way,502710946
512,Q619980,relation,6303432
513,Q620053,way,234838628
514,Q620075,node,369052181
515,Q620026,way,1010234080
516,Q620028,node,528977963
517,Q619845,way,384908974
518,Q619662,way,404159709
519,Q620005,way,235805953
520,Q619822,way,674050846
521,Q631430,way,181241264
522,Q622296,way,154544543
523,Q620051,way,603971671
524,Q629769,way,116697120
525,Q628429,node,415168449
526,Q623452,way,81245358
527,Q620090,way,426882392
530,Q619674,way,169375787
531,Q619952,node,7164923154
532,Q620095,way,506925303
533,Q620034,way,596080550
535,Q619664,way,489554451
536,Q619918,node,1042010451
537,Q619993,way,234865075
538,Q636824,way,958546271
539,Q619642,relation,2561613
540,Q619602,way,495790184
541,Q619881,way,455073363
543,Q637639,way,157851986
544,Q620063,way,793232990
545,Q631156,way,75208007
546,Q620043,node,1042049736
547,Q619835,way,678094174
548,Q619817,way,368370425
549,Q619581,relation,11489562
550,Q630703,way,183688380
552,Q639161,way,133790788
553,Q632829,way,32249386
554,Q619720,way,62066008
555,Q620061,node,1042007822
556,Q637028,way,180712462
557,Q614687,way,954884454
558,Q598617,way,474926550
559,Q597826,way,44486328
560,Q615458,way,174965488
561,Q597915,way,1150210703
563,Q597811,node,1042041849
564,Q597815,relation,12916171
566,Q604275,way,384872975
567,Q598296,way,1009845733
568,Q598033,relation,12166767
569,Q597891,way,1052285522
570,Q598024,way,119045621
571,Q601091,way,233511368
572,Q619575,way,276822361
573,Q607230,way,309402250
574,Q598850,way,90617075
575,Q609603,way,860478485
576,Q598282,way,274719750
577,Q597839,way,409867792
578,Q615917,way,910968576
579,Q616894,way,161515595
580,Q598817,way,208935822
581,Q598269,way,224660182
583,Q598661,way,37689129
584,Q598502,node,1042023491
585,Q617351,relation,3345549
588,Q598215,way,363197737
589,Q607086,way,184029546
593,Q605579,way,33089135
594,Q598259,way,224554402
595,Q598476,node,1042026563
596,Q597854,way,372640415
597,Q598002,way,61914615
598,Q612731,way,327966676
599,Q597798,way,535047102
600,Q598699,way,643361539
601,Q598831,way,4734432
602,Q607789,way,431514956
603,Q598859,way,608363421
605,Q598602,way,485374444
607,Q606813,node,369014044
609,Q597986,way,102748338
610,Q611983,way,42019302
611,Q598164,node,369144679
612,Q597793,relation,5483652
613,Q598121,way,96215012
614,Q604872,relation,15809810
616,Q608992,way,1049109403
618,Q598642,way,371067996
619,Q597755,node,368996973
621,Q605739,node,368979427
622,Q619376,way,991833488
623,Q598197,way,167055954
624,Q598724,way,232184207
625,Q601389,node,1042081385
627,Q613657,way,89889371
628,Q602178,way,1092030270
629,Q598537,node,291980007
630,Q604547,way,155276908
631,Q598462,node,1042026374
632,Q598011,node,10287618667
633,Q598252,node,369159810
634,Q597879,way,730205980
