,wikidata,type,osmid
3,Q177019,relation,935482
5,Q261808,node,278631944
11,Q174126,node,71565648
17,Q186230,relation,935573
19,Q254761,node,266715339
20,Q131882,node,249163982
23,Q129447,node,1852635571
25,Q125222,relation,935656
26,Q117091,relation,935474
27,Q266784,node,321477328
28,Q129461,node,1661449722
31,Q127419,node,28093787
33,Q123855,relation,935540
36,Q253086,relation,3069063
39,Q249378,relation,935676
43,Q209634,way,40854692
44,Q79237,node,122697276
45,Q182007,relation,935435
46,Q206192,node,306690496
49,Q220881,relation,935486
50,Q259046,node,38461549
51,Q106909,node,59773306
58,Q186662,relation,935642
59,Q137860,node,112229670
61,Q255042,node,353734742
62,Q255025,relation,935574
65,Q113673,relation,369474
66,Q139967,node,10216581841
68,Q149539,relation,278633
69,Q258806,node,2236207010
71,Q221990,relation,935624
72,Q132334,relation,935438
76,Q83679,node,25869333
77,Q117493,node,122725384
79,Q175885,node,249281150
83,Q178538,node,28256476
84,Q266401,relation,935450
92,Q122872,node,755927892
94,Q271079,relation,935601
96,Q271153,relation,935429
99,Q271255,node,97918380
101,Q388953,node,294052809
106,Q306789,relation,935577
107,Q271340,relation,935464
111,Q293970,relation,935434
114,Q376003,relation,935607
115,Q395040,node,268890262
117,Q306659,node,2178919574
120,Q372141,way,824503950
121,Q267030,relation,935507
123,Q307603,relation,935620
125,Q298357,node,192288583
126,Q267462,relation,935491
127,Q389040,relation,935678
129,Q307569,relation,935629
137,Q271274,relation,935432
138,Q305066,node,367053733
139,Q395046,node,585437884
140,Q347020,node,357361947
141,Q396132,node,2206311516
142,Q307636,node,390060838
144,Q347841,node,313106486
145,Q271096,node,568071054
147,Q271107,relation,935477
151,Q305380,node,26502341
153,Q297922,node,122720695
161,Q298270,node,997711256
162,Q298344,node,311348336
164,Q298003,relation,935455
165,Q297673,node,335701736
168,Q297936,relation,935449
170,Q321471,node,388483157
171,Q338752,relation,935532
172,Q377564,node,335359505
174,Q395051,node,268888839
175,Q307370,relation,935535
176,Q293973,node,560057680
177,Q280562,relation,935439
178,Q382808,relation,935554
179,Q501205,relation,935627
180,Q504266,relation,935398
181,Q499421,relation,935508
183,Q501487,relation,935586
184,Q405817,node,1325387090
185,Q427991,relation,935410
186,Q503204,relation,935619
187,Q501526,relation,959462
188,Q503127,relation,935417
189,Q503209,relation,307850
190,Q503111,relation,935533
191,Q404997,node,1325387093
192,Q501420,relation,935430
193,Q503214,relation,935600
195,Q498453,relation,935514
196,Q503184,relation,57886
197,Q501442,relation,935644
199,Q498477,relation,935407
200,Q501424,relation,935489
201,Q491730,node,303061683
202,Q500125,relation,935649
203,Q498470,relation,935506
204,Q503132,relation,935404
205,Q430780,relation,935576
206,Q493855,relation,935425
208,Q500153,relation,935639
209,Q501479,relation,935584
210,Q487502,relation,935662
211,Q504983,relation,935568
212,Q501470,relation,935637
213,Q504261,relation,935457
214,Q501448,relation,1120171
215,Q505246,relation,935524
216,Q501432,relation,935650
217,Q505071,relation,935570
218,Q503188,relation,935550
219,Q501551,relation,57891
220,Q505006,relation,935653
221,Q501494,relation,935501
222,Q501428,node,25710724
223,Q504609,relation,935502
224,Q499460,relation,935473
225,Q499385,relation,935539
226,Q501545,relation,300963
227,Q504244,relation,300964
228,Q499441,relation,935431
229,Q501438,relation,935622
230,Q499359,relation,1076755
231,Q428749,relation,935672
233,Q504630,node,302270358
235,Q431271,relation,935652
236,Q499415,relation,935479
237,Q498447,relation,935657
238,Q505076,relation,935634
239,Q493815,relation,935446
240,Q505057,relation,935546
241,Q404661,node,658265256
242,Q503173,relation,935549
243,Q499393,relation,935606
244,Q504219,relation,935531
245,Q505085,relation,368254
246,Q404986,node,1317551957
247,Q501463,relation,935655
248,Q504994,relation,935497
249,Q505064,relation,935460
250,Q404656,node,35343716
251,Q500210,relation,935564
252,Q503180,relation,935444
254,Q505239,relation,935481
255,Q504505,relation,935402
256,Q504601,relation,935525
257,Q505018,relation,935666
258,Q504626,relation,935529
259,Q404977,node,1129774449
260,Q505096,relation,935670
261,Q504239,relation,304100
262,Q505109,relation,278632
263,Q496201,node,335711697
265,Q503167,relation,935684
266,Q503122,relation,935612
267,Q499435,relation,935617
268,Q503102,relation,935565
269,Q504988,relation,935494
270,Q505046,relation,307884
271,Q503162,relation,935547
272,Q404675,node,2306690250
273,Q501532,relation,398917
275,Q499404,relation,935667
281,Q691597,relation,1459422
284,Q596147,node,5105325378
289,Q660532,node,89690573
293,Q675213,node,303739972
299,Q565694,way,31899667
300,Q666044,relation,7078105
304,Q685930,node,249793735
305,Q660050,node,2058617485
306,Q599114,node,155509450
309,Q687012,node,249100710
311,Q616561,node,2229167238
315,Q669660,node,49871511
319,Q585038,node,1710288917
321,Q613568,way,132800305
327,Q642964,node,27557254
329,Q654684,node,2628910100
330,Q595312,relation,4467180
331,Q667632,node,1678134046
335,Q582233,node,6402472953
337,Q569960,relation,13393266
342,Q630648,node,2316909433
343,Q667818,node,28350059
345,Q654299,node,26592946
347,Q588976,node,27561960
349,Q597068,node,3256803716
350,Q580404,relation,299329
353,Q576644,node,60141422
354,Q686783,node,267409719
