,wikidata,type,osmid
1,Q388667,way,28219722
4,Q206435,way,30926877
5,Q581004,node,312709005
6,Q929199,way,304835599
9,Q499733,node,722059523
13,Q845482,node,35205957
14,Q495392,way,151939142
16,Q1015314,way,127092231
17,Q1015247,relation,15670834
18,Q126274,way,26251811
23,Q920314,way,368997067
29,Q694876,way,576687954
30,Q969362,way,121443216
31,Q946397,node,3157228354
32,Q771891,way,244263328
37,Q683097,way,88300237
40,Q83037,node,251357455
41,Q972156,way,222902355
42,Q745280,node,2495348607
45,Q206192,node,306690496
46,Q211486,node,381097479
56,Q114133,node,3609586191
57,Q621216,way,29711745
59,Q657966,way,28360718
60,Q633078,way,28482240
61,Q291566,way,69996705
62,Q166592,node,902316230
63,Q934577,way,39440937
65,Q575797,node,25589138
67,Q1019618,way,304568053
68,Q992146,node,135773651
70,Q76288,way,264641917
75,Q179838,node,1913360146
77,Q76290,way,356121937
78,Q766707,node,5248540702
82,Q441865,way,142537548
84,Q575112,way,828810072
88,Q599940,way,626016156
90,Q1464343,way,69678867
92,Q1663657,relation,1397350
97,Q1497867,way,68259002
98,Q1431740,way,910966684
103,Q1433148,way,134382751
104,Q1479245,node,2495348608
106,Q1636717,way,53440653
107,Q1543887,relation,52772
108,Q1396767,way,202596417
109,Q1478891,way,340321230
110,Q1640555,way,174079702
114,Q1432282,way,303970657
115,Q1481707,node,1770252341
116,Q1426033,way,231814765
117,Q1418074,way,687165014
121,Q1522760,node,1778369317
122,Q1430874,way,891112895
124,Q1493144,way,245836658
125,Q1597542,way,28523383
130,Q1566274,way,98737956
131,Q1593232,way,501082695
135,Q1631363,node,810678713
136,Q1313785,node,448643473
137,Q1433305,way,73541286
138,Q1497867,way,68259002
139,Q1636725,way,88503736
142,Q1709971,way,246011057
143,Q1614073,way,604056094
147,Q1507772,node,1179544295
152,Q1433474,way,810332240
154,Q1388839,node,676843986
155,Q1433305,way,73541286
158,Q1432884,way,1102871444
166,Q1427883,way,199242965
172,Q1499198,way,41687713
174,Q3288744,way,40330178
175,Q3274268,way,1021476591
176,Q3364554,way,41219960
177,Q3375660,way,419690632
178,Q2371512,node,3258129776
179,Q3360701,node,94290200
182,Q2970856,way,203561158
184,Q2502553,way,189639928
185,Q2486275,relation,6490124
186,Q2673175,way,1103202176
188,Q3107443,node,1852952439
189,Q2915892,way,98426024
192,Q2510029,node,441312205
193,Q2648429,node,1042034100
194,Q3289844,way,204610491
195,Q2648215,way,273707510
196,Q3360372,node,57101735
197,Q3364802,way,131618363
198,Q3330046,way,89239687
200,Q2673175,way,1103202176
201,Q3366184,node,3670738519
203,Q3330639,way,120323673
204,Q3118440,way,28360729
205,Q2970866,way,188736888
206,Q3364436,way,204613239
207,Q3364415,way,68423855
210,Q2522177,way,55897475
211,Q3377544,node,248123742
212,Q3062731,node,247470668
214,Q3115696,way,296827380
215,Q2853056,way,147530612
216,Q3270957,node,7023751649
217,Q3374603,node,248608597
218,Q3068223,way,28360758
219,Q3377376,node,877507183
220,Q2968461,way,230709926
221,Q3303308,way,137125999
222,Q2560730,way,230959426
225,Q3048495,way,204612217
227,Q3364963,way,204146358
228,Q3364558,way,204609785
229,Q3082277,node,8494472482
231,Q3359812,node,3162532806
232,Q3365206,way,98486690
233,Q3365003,relation,6544422
236,Q2648429,node,1042034100
237,Q2673180,way,467811669
238,Q2658355,node,7541645331
239,Q2533331,way,449112350
241,Q3377707,node,2082685505
242,Q2599270,node,845061009
243,Q2969418,way,255128109
245,Q2817221,node,2852276930
247,Q2757682,relation,1521058
248,Q2502553,way,189639928
250,Q3124822,node,997812176
251,Q2673180,way,467811669
252,Q2969834,way,66940064
254,Q1945050,node,7541645335
256,Q2135177,node,249318273
260,Q2352050,node,1979137786
261,Q1789715,way,93981887
264,Q2196259,node,7541645332
265,Q2014432,way,52201006
267,Q1933087,way,1103146024
276,Q1797668,way,182176461
277,Q1710539,node,1042034139
282,Q1742835,way,379456758
283,Q1792366,way,164824230
285,Q1933049,way,491623829
286,Q1716414,way,92388204
296,Q1779457,way,236992894
302,Q1757862,relation,1410004
303,Q1742972,way,467805827
307,Q1844369,way,147530552
309,Q2296338,way,94434383
310,Q2213302,node,410406626
311,Q1713778,node,2494835881
312,Q1742834,node,900579198
313,Q2137328,way,237051782
315,Q1975317,node,299685178
316,Q2211598,way,93252863
318,Q1953249,way,235207459
319,Q1742945,way,135888331
324,Q1723008,way,206893722
331,Q2096330,way,37253592
332,Q1933061,way,1102578319
333,Q2213149,way,30647007
336,Q1952590,node,335671165
337,Q1800264,node,601100589
338,Q2031802,way,24929357
340,Q2181363,way,166493047
341,Q2243801,way,54607994
344,Q2970816,way,154072615
346,Q3360360,node,248229164
347,Q3138784,way,562094040
349,Q3369210,way,127177957
350,Q2968884,way,251452170
351,Q3357813,node,1719036968
353,Q3735023,relation,1306444
355,Q4884886,way,4403159
356,Q3742521,way,413274812
358,Q4348685,way,88600473
362,Q4919666,node,2145974199
363,Q4357010,way,101767016
365,Q3503582,way,41192714
366,Q4993044,relation,5698988
367,Q4994144,way,94021702
368,Q4792098,node,662932750
369,Q3378400,node,500231708
370,Q4353722,way,93535632
371,Q4993166,node,27377534
372,Q4994037,way,204610144
374,Q3502552,way,346011607
377,Q4993199,way,286842260
379,Q4357541,way,136782828
381,Q3565673,way,88144235
390,Q4412158,node,388484555
396,Q4993224,way,342725614
398,Q4994115,node,997960518
400,Q4884015,node,495559901
401,Q3431535,way,41171905
404,Q3425962,way,72231334
406,Q4792097,node,662932783
408,Q3500731,way,88798635
409,Q4022295,node,3530960736
410,Q4992400,relation,10393725
414,Q4994391,way,204613457
418,Q3429145,way,198485697
419,Q4357065,node,2713360394
421,Q3425962,way,72231334
423,Q4994206,way,119844720
425,Q4992659,way,289662618
426,Q4357256,way,302580383
429,Q4344220,way,52245411
430,Q4356653,way,310154053
431,Q4348273,way,362054952
432,Q4994088,way,56227915
434,Q4348363,way,204611032
437,Q3431505,way,28500558
438,Q4918760,way,531267018
440,Q4356369,way,97782820
443,Q3429432,node,43487870
444,Q4992337,node,7156929269
445,Q4919689,node,1728498534
447,Q7037260,relation,13739531
448,Q5422461,way,176513598
449,Q6711332,way,204611891
455,Q10436004,relation,1589810
459,Q10434708,way,218594456
461,Q10435534,node,3609296635
462,Q10436396,way,1041150429
463,Q10433172,way,173272167
471,Q10433395,way,59575116
476,Q10435957,node,8417673691
480,Q10434905,node,2891357801
492,Q5450905,relation,7648639
493,Q5470394,node,7473663940
496,Q6374797,way,297168945
497,Q5394415,node,57318036
500,Q5511301,way,25017204
501,Q5319212,way,667800731
502,Q5550943,way,110451552
504,Q6912473,way,229920347
507,Q6942851,way,224245780
509,Q6688438,way,104666504
520,Q6558743,node,158631644
524,Q6660990,node,2301143048
