,wikidata,type,osmid
0,Q2349037,relation,10720865
1,Q1521279,relation,5457478
3,Q4919799,way,29281026
6,Q2224695,way,4614134
14,Q2230756,way,4614393
21,Q3242134,relation,2017431
23,Q5245979,way,25045412
26,Q3217445,way,4614315
28,Q2621249,way,4613939
36,Q2120552,relation,8346534
38,Q1879238,way,4613984
39,Q2178560,relation,10701658
41,Q2230333,relation,10649071
44,Q4491292,way,23955663
45,Q5255321,relation,10228392
46,Q2017367,way,220366519
48,Q510727,relation,9348955
49,Q2413899,relation,10179312
50,Q1913020,way,4614265
51,Q2079814,relation,2105688
52,Q2223069,way,4614259
56,Q1568129,relation,7078157
61,Q5319215,way,198344851
63,Q1759193,relation,3030279
64,Q3506798,relation,1695145
65,Q974760,relation,5497916
70,Q1970850,node,2235056032
71,Q2021057,relation,10697218
73,Q2325135,way,4613691
74,Q1347972,way,23206773
76,Q1851818,way,4614046
77,Q428390,way,76369003
79,Q3355818,relation,14477930
83,Q2536477,way,4614108
86,Q4322430,way,4620292
88,Q932957,way,224334360
89,Q4992293,way,25762096
91,Q2680003,relation,10236751
92,Q3343621,relation,10041804
100,Q8079031,relation,1120940
101,Q10427627,way,23494626
102,Q10509801,way,76368973
104,Q10433446,relation,9367179
105,Q10478588,relation,9268751
109,Q10550611,way,3410920
112,Q10548242,node,795105258
113,Q10479897,way,32928378
116,Q10531733,relation,8673097
118,Q10546509,relation,10221271
120,Q10518387,relation,9305813
123,Q10522747,relation,3363768
125,Q10543646,way,25045164
126,Q10542053,way,77174510
127,Q10518660,relation,10041711
130,Q10420471,way,24811615
132,Q5593973,relation,11336020
133,Q10430151,relation,10227322
136,Q10505090,way,234592586
137,Q10480662,way,64866484
138,Q6976731,relation,12893696
139,Q10495940,way,33281211
141,Q10396560,relation,5588560
142,Q10551733,relation,10129623
145,Q7406259,way,25686794
147,Q7849107,relation,10929693
154,Q10430719,way,26296219
160,Q10419859,way,30772978
161,Q6089600,way,4806706
165,Q6977501,way,234969646
170,Q6980699,relation,5885241
172,Q5625950,relation,10604591
173,Q5490361,relation,11665504
174,Q10531478,relation,1463765
175,Q10494996,way,89193939
176,Q6977371,relation,10497840
178,Q10420453,way,24795297
179,Q10438602,relation,11612796
180,Q10406836,way,729391575
185,Q10517573,relation,13090463
187,Q10508094,relation,11493912
189,Q10494523,way,8109942
191,Q10532069,relation,10237986
196,Q10496371,relation,10237121
197,Q6976689,relation,10129625
200,Q10669795,relation,9293883
201,Q10570892,way,4618116
205,Q10699050,way,4219987
208,Q10605513,relation,11478794
211,Q10561414,way,4640501
213,Q10579339,way,33281095
216,Q10707120,way,99625274
218,Q10689008,relation,9305826
221,Q10683816,way,235059491
223,Q10649878,way,42992427
224,Q10705612,way,243836708
226,Q10712184,relation,12038731
227,Q10573015,relation,10236762
229,Q10572880,way,89172560
230,Q10658973,relation,9293896
233,Q10698925,way,4640694
237,Q10681160,relation,10626566
241,Q10612114,relation,11062964
242,Q10681121,way,150454753
244,Q10590308,relation,10698490
245,Q10562392,way,13528217
249,Q10605513,relation,11478794
250,Q10680840,way,41270892
255,Q10688858,relation,12867017
258,Q10691266,way,4600045
260,Q10681290,way,4622341
261,Q10680968,way,24795306
263,Q10672770,way,4601864
264,Q10681041,relation,10094463
265,Q10658747,relation,11678328
271,Q10593230,way,26296215
275,Q10705458,relation,10041990
277,Q10572708,way,4220822
278,Q10577906,way,235058061
281,Q10593174,way,25880714
284,Q10571630,relation,6990018
286,Q10707225,way,149958380
293,Q10700269,way,23156850
295,Q10705657,way,234895671
296,Q10593700,relation,9348951
297,Q10669325,way,25490367
299,Q10668308,relation,5614636
306,Q10725993,way,25042300
308,Q26253681,way,442538328
309,Q10728352,relation,1120943
310,Q10723980,relation,10694838
311,Q10726394,way,235060638
313,Q19977891,way,88653505
318,Q20932521,relation,9305814
321,Q28485680,node,10128053087
325,Q10718676,relation,10478252
329,Q10718512,relation,6729361
331,Q18288591,way,4620200
333,Q12506570,way,71782195
335,Q18291129,relation,1026574
337,Q10715576,relation,15709380
339,Q19977514,relation,11613275
341,Q15059398,relation,10250630
343,Q18448871,way,4602664
344,Q28369863,way,4617835
349,Q18449026,relation,1267667
350,Q18335272,way,4525205
351,Q12857375,relation,9293895
365,Q23711759,relation,5885219
366,Q16505236,node,3536177837
378,Q10726505,relation,10694823
381,Q10716386,relation,3015314
382,Q10725950,relation,11583711
383,Q28027134,way,262260351
384,Q18481961,relation,8642845
387,Q10715125,relation,10626054
389,Q10717471,way,89013782
391,Q29653962,way,4220115
396,Q27583720,relation,9337145
400,Q12525595,relation,3363769
402,Q20787293,way,4636317
404,Q12433029,relation,12885580
409,Q32248807,node,4013671389
418,Q56827103,way,86000424
419,Q56854953,relation,5823084
424,Q31898005,relation,11600564
425,Q31899378,way,3425851
438,Q56854764,way,247130134
441,Q56804701,relation,9337166
444,Q31898142,relation,10228731
447,Q31898923,way,25042062
450,Q33133908,way,64880608
455,Q33110007,way,149900356
456,Q31898154,relation,10494688
460,Q56852225,way,248949716
464,Q56816645,way,82614027
469,Q97278357,relation,8257726
470,Q56856578,way,23081136
474,Q45899241,relation,10239124
479,Q37268032,relation,8313140
481,Q56071822,way,149913654
484,Q56780332,way,24846389
485,Q56072329,way,426743093
490,Q56768094,way,34546894
496,Q56062151,relation,10046980
498,Q56856406,relation,9305811
499,Q30171438,relation,11595001
500,Q31898754,way,52525662
